strategy,mean,min,median,max,neg
overlay0.90+tuned_xgb0.03+scoreprop400.07,0.023206274014967793,0.004652150810683403,0.02248271562469714,0.04456855465627202,0
overlay0.90+lightgbm0.03+scoreprop500.07,0.02319440722310336,0.004898053878685138,0.023020256994737323,0.04438317334667964,0
overlay0.80+adaptive0.10+scoreprop500.10,0.023189285091978575,0.004609860747296898,0.022616166253740605,0.04444540716066353,0
overlay0.85+scoreprop300.10+scoreprop400.05,0.023186778802386034,0.0042388530647442385,0.021767600623616545,0.043827286411452726,0
overlay0.90+target30.08+scoreprop500.02,0.02317681851347688,0.005762640998049302,0.021057503776058403,0.0441443089268963,0
overlay0.80+adaptive0.15+baseline_xgb0.05,0.023168976700730457,0.004497670054639261,0.022973743396841828,0.04407714885342541,0
overlay0.85+scoreprop300.08+scoreprop400.07,0.023161742937755178,0.004268081558434653,0.021844988038234397,0.043862861590836896,0
overlay0.75+adaptive0.10+scoreprop300.15,0.02315966538333795,0.004109581335903736,0.02100312774711388,0.04385219835267838,0
overlay0.90+baseline_xgb0.03+scoreprop400.07,0.023156820502586113,0.004449820398770635,0.022929769729340396,0.04399963427581813,0
overlay_0.90+target3_0.10,0.023142625740401754,0.0060261191362295935,0.020537846593249767,0.044038287620538755,0
overlay0.85+scoreprop300.05+scoreprop400.10,0.02313251956047589,0.004315511793073712,0.021959521280640895,0.04396009277818019,0
overlay0.85+target30.03+scoreprop300.12,0.023129796153725932,0.004596855812099121,0.020954650979135778,0.04351738813934182,0
overlay0.90+tuned_xgb0.05+scoreprop300.05,0.023129370139488275,0.004630440674120009,0.02204725005394889,0.04445936375072701,0
overlay0.75+adaptive0.15+scoreprop500.10,0.023126811053806068,0.004560426898281268,0.022356183126964357,0.044383903181154816,0
overlay0.90+lightgbm0.05+scoreprop500.05,0.023119691157590726,0.00502439601300847,0.022943006653033504,0.04429300834272831,0
overlay0.85+scoreprop300.10+scoreprop500.05,0.023119529684142284,0.004335587431743129,0.02190544637187139,0.043728678031517504,0
overlay0.80+adaptive0.03+scoreprop300.17,0.023117485096482995,0.004083716285609079,0.02105144502707837,0.04373656892536559,0
overlay0.90+lightgbm0.08+scoreprop300.02,0.02311211566124201,0.005047146052451691,0.022575488746841732,0.04407958083129773,0
overlay0.85+lightgbm0.03+scoreprop300.12,0.023108587427901475,0.00445928052055581,0.021445662674288504,0.043751853669144386,0
