strategy,top_k,mean,sum,median,min,max,negative_windows
ret_1d_low,40,-0.0004283722689162575,-0.0038553504202463174,0.002817642996934988,-0.043879548620888914,0.016825023793346584,4
vol_20d_high,40,-0.0004744725720107055,-0.004270253148096349,0.008997780943018615,-0.0474504298022283,0.026730238920931126,4
mom_accel_5_20_low,100,-0.0005565853181933265,-0.0050092678637399385,-0.007001360419301897,-0.021479689406374285,0.03508139498592584,6
vol_5d_high,50,-0.0008783080238693622,-0.00790477221482426,-0.00400144038983655,-0.032060202956628175,0.02242774761474975,5
ret_3d_low,100,-0.000914306514299063,-0.008228758628691567,0.004019884973368214,-0.027662313181485848,0.01599747858721097,4
reversal_3d_high,100,-0.0009148294135701203,-0.008233464722131083,0.004019884973368214,-0.027662313181485848,0.01599747858721097,4
ret_3d_low,150,-0.0009977351113831902,-0.008979616002448712,0.0018598586582227235,-0.019781170691290692,0.011483806416894421,4
reversal_3d_high,150,-0.0009979671345915497,-0.008981704211323948,0.0018571515953604602,-0.019781170691290692,0.011483806416894421,4
vol_5d_high,70,-0.0010164796635680669,-0.009148316972112602,0.0008285302476038732,-0.02136104588650995,0.014417691865216922,4
ret_20d_high,70,-0.0010529863660790856,-0.00947687729471177,-0.004668241075759819,-0.02736891414904754,0.025867018953164414,5
vol_5d_high,40,-0.0010906020639348188,-0.009815418575413369,-0.004446684284803097,-0.03576722850191337,0.023805139194934932,5
ret_20d_low,30,-0.0013094024479439683,-0.011784622031495714,0.0010534523652293293,-0.023384537546661026,0.00947411245214836,4
ret_20d_high,100,-0.0013803233456790407,-0.012422910111111365,-0.003947654112631024,-0.026316922914847142,0.01905930983751475,5
mom_accel_5_20_high,150,-0.0013948044400365865,-0.012553239960329279,-0.0003459144019357721,-0.04087954822542094,0.017201717662391567,5
ret_3d_low,70,-0.0015261731684065424,-0.013735558515658882,0.0028894087411135624,-0.038576991934921256,0.02056063304146377,4
reversal_3d_high,70,-0.0015261731684065424,-0.013735558515658882,0.0028894087411135624,-0.038576991934921256,0.02056063304146377,4
ret_1d_low,30,-0.0015455579514509017,-0.013910021563058116,-0.0009117335916674907,-0.04508044789648344,0.01696686415040953,5
ret_20d_high,50,-0.0016054705641857245,-0.01444923507767152,-0.005518808833816412,-0.036753777255837776,0.030005319191256125,5
ret_20d_high,150,-0.0016971796270811995,-0.015274616643730796,-0.003108413915105933,-0.029619276121150485,0.012830171351080014,5
mom_accel_5_20_low,150,-0.0019337823724402572,-0.017404041351962315,-0.0023414539967201026,-0.019480780813543472,0.025840321548600942,5
vol_5d_high,30,-0.0021509814686156625,-0.019358833217540963,-0.0038268627330958482,-0.03484286543474446,0.021864973467271967,5
mom_accel_5_20_high,100,-0.002256920375415779,-0.02031228337874201,-0.00025810504931840506,-0.04344771443733861,0.016621107690189964,5
ret_20d_high,40,-0.002263170874388699,-0.020368537869498292,-0.004871977428994825,-0.042826773874121433,0.03066628583308017,5
high_low_range_high,150,-0.0022996324283779475,-0.020696691855401527,-0.0038848950910762153,-0.014671837276882232,0.013918031581918965,5
ret_10d_high,150,-0.0023487964899805754,-0.021139168409825177,-0.006478084885217401,-0.03444214871562481,0.0354459227936505,6
high_low_range_low,50,-0.0025841167269570814,-0.023257050542613733,-0.0014722722912036065,-0.05372667090038118,0.028173994289425547,5
volume_z_20d_high,150,-0.002612767686534918,-0.023514909178814263,0.006279859381145534,-0.03777927133913424,0.01981324051859559,4
turnover_z_20d_high,150,-0.0027177871268673974,-0.024460084141806577,0.0061674108175197185,-0.037848820121173375,0.01997833231571721,4
high_low_range_low,40,-0.0027268948717977855,-0.02454205384618007,-0.0022777215908484916,-0.05331905140087571,0.02801569108839036,5
close_over_ma20_high,150,-0.002727463554114197,-0.024547171987027775,-0.0007275986630967471,-0.04063432167911971,0.026324409201319288,5
mom_accel_5_20_high,30,-0.0028307260422144234,-0.025476534379929812,0.0019304593958010957,-0.053049007799841924,0.016615205373124137,3
high_low_range_low,30,-0.0028406665437312757,-0.02556599889358148,-0.004695815188930481,-0.05214675619056863,0.028621068702440643,5
amount_z_20d_high,150,-0.0028417934491006243,-0.025576141041905618,0.004396014994156154,-0.04012952303103255,0.018948921969085906,4
