apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_regularized,0.4,0.08,0.1,0.031020841524262672,0.019961194003724585,0.04514788015494137,0,"0.02629,0.02422,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_regularized,0.4,0.1,0.1,0.031020841524262672,0.019961194003724585,0.04514788015494137,0,"0.02629,0.02422,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,2.0,0.04,0.2,0.031019508107460916,0.01964614666148605,0.04666106816306938,0,"0.02831,0.02329,0.02570,0.04515,0.03126,0.01965,0.02121,0.03795,0.04666"
tree_regularized,0.4,0.04,0.2,0.031018704746665633,0.019418546858559732,0.04514788015494137,0,"0.02652,0.02411,0.02583,0.04515,0.03179,0.02201,0.01942,0.03978,0.04455"
tree_only,1.6,0.04,0.3,0.031017955042506668,0.020353675861568388,0.04594632775873868,0,"0.02831,0.02329,0.02538,0.04515,0.03149,0.02035,0.02050,0.03874,0.04595"
tree_only,0.6,0.05,0.2,0.03101613307177041,0.01860888028921137,0.04514788015494137,0,"0.02831,0.02329,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_only,0.6,0.06,0.2,0.03101613307177041,0.01860888028921137,0.04514788015494137,0,"0.02831,0.02329,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_only,0.6,0.08,0.2,0.03101613307177041,0.01860888028921137,0.04514788015494137,0,"0.02831,0.02329,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_only,0.6,0.1,0.2,0.03101613307177041,0.01860888028921137,0.04514788015494137,0,"0.02831,0.02329,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_regularized,3.0,0.1,0.2,0.031012756842764024,0.00561784783085123,0.04756658884709881,0,"0.03013,0.02467,0.02902,0.04515,0.04347,0.00562,0.02439,0.04757,0.02910"
tree_only,0.6,0.04,0.1,0.03100922737404019,0.01990608269383931,0.04639540088095935,0,"0.02831,0.02329,0.02525,0.04515,0.03177,0.01991,0.02026,0.03875,0.04640"
tree_only,2.5,0.04,0.1,0.031009031931872447,0.018307837282639267,0.047887255252440225,0,"0.02831,0.02329,0.02644,0.04515,0.03059,0.01831,0.02197,0.03713,0.04789"
tree_only,3.0,0.04,0.2,0.03100699147427562,0.020427087260996492,0.04556823199168511,0,"0.02831,0.02329,0.02524,0.04515,0.03169,0.02090,0.02043,0.03849,0.04557"
