mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.05,1.2,0.05,0.04,0.2,0.07082218433203608,0.041279438261512036,0.02954274607052404,30,0.04000000000000001,0.40000000000000013
rank,30,0.1,3.0,0.0,0.04,0.2,0.07080702109959099,0.041279438261512036,0.02952758283807895,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,3.0,0.05,0.04,0.2,0.0707854065179066,0.041279438261512036,0.029505968256394566,30,0.04,0.39999999999999997
rank,30,0.2,1.6,0.0,0.04,0.2,0.07077225010275591,0.041279438261512036,0.029492811841243874,30,0.04,0.39999999999999997
rank,30,0.05,2.4,0.05,0.04,0.2,0.07076952671676895,0.041279438261512036,0.029490088455256913,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,0.8,0.05,0.04,0.2,0.07076696979773887,0.041279438261512036,0.029487531536226838,30,0.04,0.39999999999999997
rank,30,0.05,1.0,0.05,0.04,0.2,0.0707664357885334,0.041279438261512036,0.029486997527021358,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,1.6,0.05,0.04,0.2,0.07076309973284163,0.041279438261512036,0.029483661471329595,30,0.04000000000000002,0.40000000000000024
rank,30,0.1,0.8,0.0,0.04,0.2,0.07075844675172979,0.041279438261512036,0.029479008490217756,30,0.03999999999999998,0.3999999999999998
rank,30,0.2,2.0,0.0,0.04,0.2,0.07072304896134386,0.041279438261512036,0.029443610699831826,30,0.04,0.39999999999999997
rank,30,0.0,1.6,0.1,0.04,0.2,0.07072301479753093,0.041279438261512036,0.029443576536018895,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,2.0,0.05,0.04,0.2,0.07071694622414029,0.041279438261512036,0.029437507962628257,30,0.04000000000000001,0.40000000000000013
rank,30,0.1,1.2,0.05,0.04,0.2,0.07071491505255334,0.041279438261512036,0.029435476791041304,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,1.2,0.0,0.04,0.2,0.07071172080382712,0.041279438261512036,0.029432282542315086,30,0.04,0.39999999999999997
rank,30,0.0,1.2,0.1,0.04,0.2,0.07070933262701994,0.041279438261512036,0.0294298943655079,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,0.8,0.05,0.04,0.2,0.0706912096442349,0.041279438261512036,0.02941177138272287,30,0.040000000000000015,0.4000000000000002
rank,30,0.1,1.0,0.05,0.04,0.2,0.07068574063448499,0.041279438261512036,0.029406302372972953,30,0.04000000000000001,0.40000000000000013
rank,30,0.0,1.0,0.1,0.04,0.2,0.07068236111840312,0.041279438261512036,0.029402922856891084,30,0.04,0.39999999999999997
rank,30,0.0,2.0,0.1,0.04,0.2,0.07067805101744479,0.041279438261512036,0.02939861275593275,30,0.04,0.39999999999999997
rank,30,0.2,1.0,0.0,0.04,0.2,0.0706676560420853,0.041279438261512036,0.029388217780573267,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,3.0,0.05,0.04,0.2,0.07063751639964698,0.041279438261512036,0.029358078138134944,30,0.03999999999999998,0.3999999999999998
rank,30,0.05,1.2,0.1,0.04,0.2,0.07063236077135487,0.041279438261512036,0.029352922509842838,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,2.4,0.05,0.04,0.2,0.07062956457032181,0.041279438261512036,0.029350126308809774,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,2.4,0.0,0.04,0.2,0.07062764967908315,0.041279438261512036,0.029348211417571116,30,0.039999999999999994,0.3999999999999999
rank,30,0.0,0.8,0.1,0.04,0.2,0.07062083384229229,0.041279438261512036,0.02934139558078025,30,0.04,0.39999999999999997
rank,30,0.1,0.8,0.05,0.04,0.2,0.07061512331060851,0.041279438261512036,0.029335685049096477,30,0.04,0.39999999999999997
