top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,median,min,max,sum,negative_windows,avg_n,utility
30,0.1,1.1,0.1,0.04,0.015306145840914862,0.009739599465736978,0.0019241254332978408,0.04338420797371251,0.13775531256823376,0,82.0,0.016268208557563783
30,0.25,0.9,0.2,0.04,0.0150517294889687,0.009287163693739105,0.0024209391599008256,0.04299792942469004,0.1354655654007183,0,82.0,0.01626219906891911
30,0.1,1.2,0.2,0.04,0.015241595949391958,0.010011922996646494,0.002037040028243578,0.04270893227712448,0.1371743635445276,0,82.0,0.016260115963513747
35,0.1,0.9,0.05,0.05,0.01432032062670239,0.009287163693739105,0.003876445019016142,0.03251946850483585,0.12888288564032152,0,86.44444444444444,0.01625854313621046
30,0.1,1.2,0.1,0.04,0.01530615583024685,0.009831669614173796,0.001894544305235682,0.04342176778319143,0.13775540247222165,0,82.0,0.016253427982864693
35,0.25,0.9,0.1,0.04,0.01416207419364809,0.009287163693739105,0.00417637681109502,0.03651622055552731,0.12745866774283282,0,86.44444444444444,0.0162502625991956
35,0.0,1.1,0.2,0.04,0.014199594156706198,0.009287163693739105,0.004099401392073987,0.03784939415921265,0.12779634741035578,0,86.44444444444444,0.016249294852743193
35,0.0,1.1,0.05,0.04,0.014312639712839312,0.009287163693739105,0.00387293303558274,0.03761129822407924,0.12881375741555381,0,86.44444444444444,0.01624910623063068
35,0.0,1.2,0.1,0.04,0.01429531500094175,0.009287163693739105,0.0039045101866727328,0.03779654542901831,0.12865783500847575,0,86.44444444444444,0.016247570094278116
35,0.1,1.1,0.2,0.05,0.014250672882845252,0.009287163693739105,0.003980042853947333,0.03234460486645224,0.12825605594560727,0,86.44444444444444,0.01624069430981892
35,0.0,0.9,0.0,0.04,0.014302512132418628,0.009287163693739105,0.003874748618527976,0.03724343751223608,0.12872260919176765,0,86.44444444444444,0.016239886441682616
35,0.0,1.1,0.0,0.04,0.014337207623897008,0.009287163693739105,0.003800023128824326,0.03752442902910644,0.12903486861507307,0,86.44444444444444,0.01623721918830917
