set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
core_diverse,presence,30,1.0,0.1,0.1,0.024215444905259544,0.003337745065040469,0.04989691682536193,0,"0.02145,0.01992,0.02076,0.00334,0.02843,0.02204,0.01443,0.03766,0.04990"
core_diverse,presence,30,0.8,0.05,0.0,0.02421202808067173,0.0034065738142550622,0.05038155932688171,0,"0.02118,0.01997,0.02063,0.00341,0.02790,0.02230,0.01449,0.03764,0.05038"
core_diverse,presence,30,1.6,0.08,0.1,0.024206020337162334,0.0029620877090741626,0.04727088412766195,0,"0.02263,0.01962,0.02149,0.00296,0.03131,0.02066,0.01413,0.03778,0.04727"
core_diverse,presence,30,1.6,0.1,0.1,0.024206020337162334,0.0029620877090741626,0.04727088412766195,0,"0.02263,0.01962,0.02149,0.00296,0.03131,0.02066,0.01413,0.03778,0.04727"
core_diverse,presence,30,1.3,0.06,0.2,0.024202657744657116,0.0032307250784955194,0.04925434298165211,0,"0.02176,0.01984,0.02093,0.00323,0.02915,0.02165,0.01431,0.03770,0.04925"
core_diverse,presence,30,1.3,0.08,0.2,0.024202657744657116,0.0032307250784955194,0.04925434298165211,0,"0.02176,0.01984,0.02093,0.00323,0.02915,0.02165,0.01431,0.03770,0.04925"
core_diverse,presence,30,1.3,0.1,0.2,0.024202657744657116,0.0032307250784955194,0.04925434298165211,0,"0.02176,0.01984,0.02093,0.00323,0.02915,0.02165,0.01431,0.03770,0.04925"
core_diverse,presence,30,0.8,0.05,0.1,0.024202455265024632,0.003445774896886737,0.05083116990914005,0,"0.02106,0.02001,0.02048,0.00345,0.02742,0.02246,0.01446,0.03765,0.05083"
core_diverse,presence,30,0.8,0.06,0.1,0.024202276000200966,0.003445774896886737,0.05083116990914005,0,"0.02106,0.02001,0.02048,0.00345,0.02742,0.02246,0.01446,0.03765,0.05083"
core_diverse,presence,30,0.8,0.08,0.1,0.024202276000200966,0.003445774896886737,0.05083116990914005,0,"0.02106,0.02001,0.02048,0.00345,0.02742,0.02246,0.01446,0.03765,0.05083"
core_diverse,presence,30,0.8,0.1,0.1,0.024202276000200966,0.003445774896886737,0.05083116990914005,0,"0.02106,0.02001,0.02048,0.00345,0.02742,0.02246,0.01446,0.03765,0.05083"
core_diverse,presence,30,1.0,0.06,0.2,0.02419883344737228,0.003388949462321718,0.05045033330581791,0,"0.02123,0.01997,0.02059,0.00339,0.02785,0.02225,0.01441,0.03766,0.05045"
core_diverse,presence,30,1.0,0.08,0.2,0.02419883344737228,0.003388949462321718,0.05045033330581791,0,"0.02123,0.01997,0.02059,0.00339,0.02785,0.02225,0.01441,0.03766,0.05045"
core_diverse,presence,30,1.0,0.1,0.2,0.02419883344737228,0.003388949462321718,0.05045033330581791,0,"0.02123,0.01997,0.02059,0.00339,0.02785,0.02225,0.01441,0.03766,0.05045"
core_diverse,presence,30,1.6,0.08,0.2,0.02419045605350808,0.0030550318125738968,0.048116082018973466,0,"0.02228,0.01970,0.02123,0.00306,0.03041,0.02101,0.01414,0.03777,0.04812"
core_diverse,presence,30,1.6,0.1,0.2,0.02419045605350808,0.0030550318125738968,0.048116082018973466,0,"0.02228,0.01970,0.02123,0.00306,0.03041,0.02101,0.01414,0.03777,0.04812"
core_diverse,presence,30,1.3,0.06,0.0,0.024188753342219513,0.0030887601879764914,0.04784851243969884,0,"0.02189,0.01971,0.02137,0.00309,0.03065,0.02110,0.01434,0.03771,0.04785"
core_diverse,presence,30,0.8,0.05,0.2,0.024187127753986865,0.003484975979518405,0.051280780491398434,0,"0.02089,0.02005,0.02034,0.00348,0.02695,0.02261,0.01443,0.03765,0.05128"
core_diverse,presence,30,0.8,0.06,0.2,0.024187127753986865,0.003484975979518405,0.051280780491398434,0,"0.02089,0.02005,0.02034,0.00348,0.02695,0.02261,0.01443,0.03765,0.05128"
core_diverse,presence,30,0.8,0.08,0.2,0.024187127753986865,0.003484975979518405,0.051280780491398434,0,"0.02089,0.02005,0.02034,0.00348,0.02695,0.02261,0.01443,0.03765,0.05128"
core_diverse,presence,30,0.8,0.1,0.2,0.024187127753986865,0.003484975979518405,0.051280780491398434,0,"0.02089,0.02005,0.02034,0.00348,0.02695,0.02261,0.01443,0.03765,0.05128"
core_diverse,presence,30,1.0,0.05,0.2,0.02418539130170332,0.003388949462321718,0.05045033330581791,0,"0.02111,0.01997,0.02059,0.00339,0.02785,0.02225,0.01441,0.03766,0.05045"
core_diverse,presence,30,0.8,0.04,0.2,0.02418359333503915,0.0035830461480377412,0.051280780491398434,0,"0.02046,0.02005,0.02037,0.00358,0.02695,0.02279,0.01460,0.03758,0.05128"
core_diverse,presence,30,0.5,0.05,0.0,0.024178042481345554,0.003569550948853799,0.05200239349263658,0,"0.02058,0.02012,0.02012,0.00357,0.02617,0.02294,0.01446,0.03764,0.05200"
