ogamma,opower,omax,rgamma,rpower,rmax,mean,min,max,neg,vals,reasons
3.0,2.0,0.08,3.0,1.5,0.08,0.0395998733564141,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,3.0,1.5,0.1,0.0395998733564141,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,1.5,0.08,0.0395998733564141,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,1.5,0.1,0.0395998733564141,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03605,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,2.0,0.06,0.03957693244843082,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02962,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,2.0,3.0,0.06,0.03955618559594862,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02944,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,3.0,0.06,0.03951191091318207,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02904,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,1.5,0.05,0.03946885547763749,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02676,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,3.0,0.08,0.03944603120558803,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02845,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,3.0,0.1,0.03944603120558803,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02845,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,1.5,0.05,0.03944447667256826,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02655,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,2.0,0.06,0.03943860817898191,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,2.0,0.08,0.03943860817898191,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,2.0,0.1,0.03943860817898191,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,2.0,0.05,0.03943663171799108,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02647,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,3.0,0.06,0.03942226459463581,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02823,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,1.5,0.06,0.0394084181687842,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,1.5,0.08,0.0394084181687842,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.0,1.5,0.1,0.0394084181687842,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,2.0,0.05,0.03940279180911223,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02617,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,1.5,0.05,0.03939609253074342,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02611,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,3.0,0.08,0.039390298720762086,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,3.0,0.1,0.039390298720762086,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,2.0,3.0,0.08,0.039390298720762086,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
