top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,min,max,std,neg,utility,avg_max_weight,avg_n
30,0.0,0.0,0.25,0.1,0.01837990433645833,0.0038836698632049096,0.03609432189061383,0.012528500621929764,0,0.01796634808521932,0.037361600749900484,30.0
30,0.75,0.0,0.25,0.04,0.019052684478855865,0.003553197309237855,0.041951992675855226,0.01430758113644759,0,0.017963027311210467,0.03737313695840751,30.0
30,0.25,0.8,0.4,0.04,0.0196271255031616,0.0027510155054845248,0.042286970137335844,0.0143668408376896,0,0.017961126147578367,0.04000000000000001,30.0
30,0.5,0.5,0.0,0.04,0.019833776608902825,0.0026338253297809866,0.04414983567950459,0.014883965754491763,0,0.017956462901126576,0.04,30.0
30,0.25,1.2,0.4,0.04,0.019739667050021892,0.0025985346990122227,0.042528964716518444,0.01441851582955446,0,0.017954012381941834,0.04,30.0
30,0.0,0.5,0.4,0.04,0.01899873585101599,0.003225648953552304,0.03842488710361883,0.013245130670064836,0,0.017945407450986394,0.03962225599979814,30.0
30,0.5,0.5,0.1,0.04,0.019730536158191665,0.0027144406847306457,0.04369374269703653,0.01475314989473016,0,0.017942357163820578,0.04000000000000001,30.0
30,0.65,0.5,0.4,0.04,0.019409262328340268,0.0031006783490549195,0.04279274363796376,0.014557949632578442,0,0.0179402497645341,0.03974684372524841,30.0
30,0.5,0.5,0.25,0.04,0.019583311383165315,0.0028755208497686924,0.043118331326741144,0.0146309626036961,0,0.017938435327079373,0.04,30.0
30,0.0,0.0,0.4,0.04,0.01853357711270322,0.0037557384421391775,0.03745484590445597,0.012899436152101745,0,0.017937734984175207,0.036074476802241594,30.0
30,0.5,0.0,0.4,0.06,0.018891398646878315,0.003587421469834602,0.04065335752632139,0.013869327055042645,0,0.017935261912001878,0.038768209030473066,30.0
30,0.5,0.0,0.4,0.08,0.018891398646878315,0.003587421469834602,0.04065335752632139,0.013869327055042645,0,0.017935261912001878,0.038768209030473066,30.0
30,0.5,0.0,0.4,0.1,0.018891398646878315,0.003587421469834602,0.04065335752632139,0.013869327055042645,0,0.017935261912001878,0.038768209030473066,30.0
30,0.5,0.0,0.25,0.06,0.01876278958835257,0.003673273647824188,0.03977050308882245,0.013611587212552916,0,0.017931184338691272,0.040126927954758,30.0
30,0.5,0.0,0.25,0.08,0.01876278958835257,0.003673273647824188,0.03977050308882245,0.013611587212552916,0,0.017931184338691272,0.040126927954758,30.0
30,0.5,0.0,0.25,0.1,0.01876278958835257,0.003673273647824188,0.03977050308882245,0.013611587212552916,0,0.017931184338691272,0.040126927954758,30.0
35,0.0,1.2,0.25,0.06,0.018192745315158416,0.003993881375556674,0.03522954108364558,0.012232475592660188,0,0.01793034337988304,0.04479904186679497,35.0
35,0.0,1.2,0.25,0.08,0.018192745315158416,0.003993881375556674,0.03522954108364558,0.012232475592660188,0,0.01793034337988304,0.04479904186679497,35.0
35,0.0,1.2,0.25,0.1,0.018192745315158416,0.003993881375556674,0.03522954108364558,0.012232475592660188,0,0.01793034337988304,0.04479904186679497,35.0
30,0.25,0.8,0.1,0.04,0.01995339667980714,0.002318040123939269,0.04318550543178633,0.01458973068882515,0,0.01792859209435834,0.04,30.0
30,0.75,0.5,0.4,0.04,0.019441781752120434,0.0030864106729015794,0.043224016674012614,0.014698253314754148,0,0.017927705894463002,0.03974740065537719,30.0
30,0.5,0.0,0.15,0.06,0.018677050216002057,0.0037305084331505853,0.039181933463823135,0.013444781333502959,0,0.017927210785831725,0.04103274057094797,30.0
30,0.5,0.0,0.15,0.08,0.018677050216002057,0.0037305084331505853,0.039181933463823135,0.013444781333502959,0,0.017927210785831725,0.04103274057094797,30.0
30,0.5,0.0,0.15,0.1,0.018677050216002057,0.0037305084331505853,0.039181933463823135,0.013444781333502959,0,0.017927210785831725,0.04103274057094797,30.0
30,0.0,0.0,0.4,0.06,0.018513771767678863,0.0037557384421391775,0.037355819179334185,0.01287041326203153,0,0.017925185361668403,0.03655594726658705,30.0
30,0.0,0.0,0.4,0.08,0.018513771767678863,0.0037557384421391775,0.037355819179334185,0.01287041326203153,0,0.017925185361668403,0.03655594726658705,30.0
30,0.0,0.0,0.4,0.1,0.018513771767678863,0.0037557384421391775,0.037355819179334185,0.01287041326203153,0,0.017925185361668403,0.03655594726658705,30.0
30,0.5,0.0,0.1,0.06,0.01863418052982681,0.0037591258258137736,0.03888764865132348,0.013362941343031136,0,0.01792483327213867,0.04148564687904294,30.0
30,0.5,0.0,0.1,0.08,0.01863418052982681,0.0037591258258137736,0.03888764865132348,0.013362941343031136,0,0.01792483327213867,0.04148564687904294,30.0
30,0.5,0.0,0.1,0.1,0.01863418052982681,0.0037591258258137736,0.03888764865132348,0.013362941343031136,0,0.01792483327213867,0.04148564687904294,30.0
30,0.35,0.8,0.4,0.04,0.01962460832525685,0.0027342470470331642,0.042600307184152184,0.01446174160488134,0,0.01792314585695973,0.04,30.0
30,0.5,0.0,0.0,0.06,0.0185484411574763,0.003816360611140164,0.03829907902632415,0.013202484145146312,0,0.017919272548987838,0.04239145949523289,30.0
30,0.5,0.0,0.0,0.08,0.0185484411574763,0.003816360611140164,0.03829907902632415,0.013202484145146312,0,0.017919272548987838,0.04239145949523289,30.0
30,0.5,0.0,0.0,0.1,0.0185484411574763,0.003816360611140164,0.03829907902632415,0.013202484145146312,0,0.017919272548987838,0.04239145949523289,30.0
30,0.35,0.8,0.15,0.04,0.01990016585731011,0.002407906068943741,0.043574143312265404,0.014709988547722343,0,0.017908202968640142,0.04,30.0
30,0.65,0.0,0.4,0.06,0.018955136283815732,0.0035308515888976544,0.04129335649330626,0.01407828038598736,0,0.01790716229954725,0.03927869882309674,30.0
30,0.65,0.0,0.4,0.08,0.018955136283815732,0.0035308515888976544,0.04129335649330626,0.01407828038598736,0,0.01790716229954725,0.03927869882309674,30.0
30,0.65,0.0,0.4,0.1,0.018955136283815732,0.0035308515888976544,0.04129335649330626,0.01407828038598736,0,0.01790716229954725,0.03927869882309674,30.0
35,0.0,0.8,0.15,0.06,0.018145814535190707,0.003981837301077075,0.03502492082863699,0.012109733696123136,0,0.017905667221913876,0.042380483412622336,35.0
35,0.0,0.8,0.15,0.08,0.018145814535190707,0.003981837301077075,0.03502492082863699,0.012109733696123136,0,0.017905667221913876,0.042380483412622336,35.0
35,0.0,0.8,0.15,0.1,0.018145814535190707,0.003981837301077075,0.03502492082863699,0.012109733696123136,0,0.017905667221913876,0.042380483412622336,35.0
30,0.35,1.2,0.4,0.04,0.01973377998035098,0.0025730201367051425,0.042845280980430375,0.014517860246810333,0,0.017905429014341997,0.04000000000000001,30.0
30,0.5,0.5,0.15,0.04,0.019674784472257727,0.002720444569681943,0.04349518436363048,0.014712654127910287,0,0.017900932139057517,0.04,30.0
35,0.0,0.8,0.0,0.06,0.018053956533238574,0.003989864633969262,0.033542973280045296,0.011791314102105079,0,0.017899033251490788,0.04481737544342123,35.0
35,0.0,0.8,0.0,0.08,0.018053956533238574,0.003989864633969262,0.033542973280045296,0.011791314102105079,0,0.017899033251490788,0.04481737544342123,35.0
35,0.0,0.8,0.0,0.1,0.018053956533238574,0.003989864633969262,0.033542973280045296,0.011791314102105079,0,0.017899033251490788,0.04481737544342123,35.0
30,0.65,0.5,0.1,0.04,0.019762167630226733,0.002687005468205314,0.04437761060066052,0.014979554956247981,0,0.01789818271890846,0.04,30.0
35,0.0,1.6,0.4,0.06,0.018227447944846098,0.003994443475700354,0.03619954234595306,0.012505049558269444,0,0.017897295988268985,0.0447551350857599,35.0
35,0.0,1.6,0.4,0.08,0.018227447944846098,0.003994443475700354,0.03619954234595306,0.012505049558269444,0,0.017897295988268985,0.0447551350857599,35.0
35,0.0,1.6,0.4,0.1,0.018227447944846098,0.003994443475700354,0.03619954234595306,0.012505049558269444,0,0.017897295988268985,0.0447551350857599,35.0
