strategy,mean,median,min,max,neg
reweight_vol_20d_low_g1.0_p2.0,0.02335341159689664,0.0196561932132205,0.0038242800454155665,0.04447678066822221,0
reweight_close_over_ma60_low_g0.5_p1.5,0.023350851450768526,0.01990970518729017,0.004776187601124748,0.044469126033449324,0
reweight_ret_60d_low_g1.0_p1.5,0.023348310764560197,0.019843581258288973,0.0031522343132879063,0.04483537941427443,0
reweight_close_over_ma60_low_g0.5_p1.0,0.023348079811975814,0.020064593928496965,0.004743446918265212,0.04445183772990016,0
reweight_vol_20d_low_g1.0_p1.5,0.023346783278011134,0.019630036416440372,0.003954130828811728,0.044524936335334414,0
reweight_amplitude_ma_20d_low_g1.5_p2.0,0.02334286221715614,0.01951575661315036,0.0029364188724609955,0.044358009237157575,0
reweight_drawdown_20d_low_g0.3_p0.8,0.023342781542298505,0.02005731339339714,0.004240321566505931,0.04472283784812606,0
reweight_ret_60d_low_g1.0_p0.8,0.02334137387751707,0.020969811936319485,0.0032293830955814756,0.04475646259623747,0
reweight_ret_60d_low_g1.0_p2.0,0.023338024042386163,0.01982894781850228,0.003207546954776451,0.04470236890477372,0
reweight_drawdown_20d_low_g0.3_p1.0,0.023336694847029535,0.020058329013049436,0.00430981837409615,0.04468731499264991,0
reweight_ret_5d_low_g0.5_p1.5,0.02333593714521034,0.02309389760797767,0.0039013427884199425,0.04475962268727868,0
reweight_amplitude_ma_20d_low_g1.5_p1.0,0.02333358564196352,0.019471612115989884,0.002995478571441168,0.04393023196595697,0
reweight_ret_5d_low_g0.5_p2.0,0.023324965470317933,0.023106243205126886,0.003902030402751361,0.04462365361740511,0
reweight_close_over_ma60_low_g0.5_p0.8,0.023317432457469537,0.020144186928512525,0.004688648010496496,0.0444288966852148,0
reweight_amplitude_ma_20d_low_g1.5_p1.5,0.023317272976119657,0.0194028073173112,0.002892178326296485,0.044194665392217586,0
reweight_close_over_ma60_low_g0.5_p2.0,0.023310733956021304,0.019750816472902902,0.0047488960210023,0.044465015701193294,0
reweight_ret_60d_low_g0.8_p1.5,0.023305913445902708,0.01981264012296742,0.003268283943648004,0.04476305165288197,0
reweight_close_over_ma20_low_g0.5_p1.5,0.023305563042625647,0.02020522542876195,0.004526587797590291,0.0444340078389259,0
reweight_vol_20d_low_g0.8_p2.0,0.02330476845441977,0.019660032589106938,0.0038270700898251145,0.04447429147111795,0
reweight_vol_20d_low_g0.8_p1.5,0.02330349852113208,0.019639003379245727,0.003935542361295577,0.044512907185678435,0
reweight_vol_20d_low_g1.0_p1.0,0.023301962842913762,0.01955859659683129,0.004090466149987412,0.04466891779058273,0
