strategy,mean,min,median,max,neg
overlay0.70+adaptive0.20+scoreprop300.10,0.023352769856508835,0.0042158253324494355,0.021275977512772923,0.04418018948832536,0
overlay0.80+adaptive0.10+scoreprop400.10,0.023350393884797233,0.004468097555439018,0.02222157100993935,0.04451113980604013,0
overlay0.90+aggressive0.05+scoreprop400.05,0.023341118047717237,0.00474213866988038,0.022216137716607673,0.04508205092820783,0
overlay0.90+guarded0.05+scoreprop500.05,0.02333918939928671,0.004811562336134598,0.022422324074512917,0.04504812302331103,0
overlay_0.90+scoreprop50_0.10,0.023314233168323532,0.004708728445328159,0.023136132507293017,0.04456841511968068,0
overlay0.90+balanced0.05+scoreprop400.05,0.023312682213668563,0.004898422867881461,0.0223163542648179,0.04479135538297904,0
overlay0.90+target30.05+scoreprop400.05,0.023312370450517605,0.005271306709522652,0.0216260158371427,0.04431778633161315,0
overlay0.90+guarded_v20.05+aggressive0.05,0.023306542540777936,0.0049306152570873785,0.021700759939642433,0.04553315434602956,0
overlay0.80+adaptive0.10+guarded_v20.10,0.0233009181840085,0.00484796658920246,0.021173037983999568,0.045415499603983195,0
overlay0.90+guarded_v20.05+target30.05,0.023284245662525366,0.005486476711731664,0.021115425415400887,0.0447883945509497,0
overlay_0.85+scoreprop30_0.15,0.023278947513518538,0.004190716552062185,0.021529858878242075,0.043912780269854804,0
overlay0.90+guarded_v20.05+balanced0.05,0.023276793403618337,0.005086605166719604,0.02180757055223287,0.04524300692164959,0
overlay0.90+guarded0.05+aggressive0.05,0.0232755311802421,0.004914396226941044,0.02170851564173283,0.045527807210698434,0
overlay0.90+guarded0.05+target30.05,0.02325323430198954,0.005470257681585322,0.0211231811174913,0.04478304741561859,0
overlay0.90+aggressive0.05+scoreprop500.05,0.023250877715951405,0.004811562336134598,0.022422324074512917,0.04504812302331103,0
overlay0.90+guarded0.05+balanced0.05,0.02324578204308249,0.005070386136573263,0.02181532625432328,0.04523765978631834,0
overlay0.80+adaptive0.10+guarded0.10,0.023238895462918244,0.0048155285289097766,0.021188549388180405,0.04540480533315275,0
overlay0.90+target30.05+scoreprop500.05,0.023228163732611294,0.005367423790778876,0.021836989550271385,0.044303344817714335,0
overlay0.70+adaptive0.20+scoreprop400.10,0.023224975466342265,0.004368788976350804,0.021699956814636767,0.04438767232063767,0
overlay0.90+balanced0.05+scoreprop500.05,0.02322120624476507,0.00496755224576681,0.02252913468710338,0.04475796842646526,0
overlay0.80+adaptive0.05+scoreprop300.15,0.023219674248756234,0.004150668707987075,0.021266516439552657,0.04388250987411188,0
overlay0.80+adaptive0.10+scoreprop500.10,0.023189285091978575,0.004609860747296898,0.022616166253740605,0.04444540716066353,0
overlay_0.90+aggressive_0.10,0.023187219496906792,0.004914396226941044,0.021708515641732845,0.045527807210698434,0
overlay0.70+adaptive0.20+guarded_v20.10,0.023175970783366456,0.0047490988911711995,0.020653071730447156,0.04529249772659154,0
overlay0.90+aggressive0.05+target30.05,0.02316492261865423,0.005470257681585322,0.0211231811174913,0.04478304741561859,0
overlay0.90+aggressive0.05+balanced0.05,0.023157470359747176,0.005070386136573263,0.02181532625432328,0.04523765978631834,0
overlay_0.90+target3_0.10,0.023142625740401754,0.0060261191362295935,0.020537846593249767,0.044038287620538755,0
overlay0.90+balanced0.05+target30.05,0.02313517348149475,0.005626247591217534,0.02122999173008172,0.04449289999123851,0
overlay_0.90+balanced_0.10,0.023127721222587706,0.005226376046205468,0.021922136866913716,0.04494751236193825,0
overlay0.70+adaptive0.20+guarded0.10,0.023113948062257864,0.004716660830878516,0.020668583134627994,0.0452818034555961,0
overlay0.70+adaptive0.15+scoreprop300.15,0.023100757368296934,0.004064040539779795,0.02073969278873851,0.04382184562168655,0
overlay_0.85+scoreprop40_0.15,0.023068970002541614,0.004401159052093248,0.022157829491816577,0.0441017342283469,0
overlay0.70+adaptive0.20+scoreprop500.10,0.023064337015633554,0.004510993049265631,0.022096200000188165,0.04432239920164595,0
