as_of,idx_ret_5d,idx_ret_20d,breadth,factor,direction,gamma,power,max_weight,base,excess,delta
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,3.0,0.06,0.00709507757433531,0.006671699629563162,-0.0004233779447721485
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,3.0,0.08,0.00709507757433531,0.006671699629563162,-0.0004233779447721485
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,3.0,0.1,0.00709507757433531,0.006671699629563162,-0.0004233779447721485
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.0,0.04,0.00709507757433531,0.0055763058261598455,-0.0015187717481754646
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.0,0.05,0.00709507757433531,0.005842758046050108,-0.001252319528285202
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.0,0.06,0.00709507757433531,0.005842758046050108,-0.001252319528285202
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.0,0.08,0.00709507757433531,0.005842758046050108,-0.001252319528285202
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.0,0.1,0.00709507757433531,0.005842758046050108,-0.001252319528285202
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.5,0.04,0.00709507757433531,0.005776526108360221,-0.0013185514659750895
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.5,0.05,0.00709507757433531,0.006033199074498584,-0.0010618784998367263
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.5,0.06,0.00709507757433531,0.006033199074498584,-0.0010618784998367263
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.5,0.08,0.00709507757433531,0.006033199074498584,-0.0010618784998367263
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,1.5,0.1,0.00709507757433531,0.006033199074498584,-0.0010618784998367263
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,2.0,0.04,0.00709507757433531,0.00586799696478528,-0.0012270806095500304
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,2.0,0.05,0.00709507757433531,0.006233491375488266,-0.000861586198847044
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,2.0,0.06,0.00709507757433531,0.006174084140541044,-0.0009209934337942663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,2.0,0.08,0.00709507757433531,0.006174084140541044,-0.0009209934337942663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,2.0,0.1,0.00709507757433531,0.006174084140541044,-0.0009209934337942663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,3.0,0.04,0.00709507757433531,0.005950952021131866,-0.0011441255532034442
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,3.0,0.05,0.00709507757433531,0.006597769157721405,-0.000497308416613905
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,1.0,3.0,0.06,0.00709507757433531,0.006377049866295878,-0.0007180277080394322
