feature,direction,top_k,power,mean,min,max,neg,vals
ret_5d_rank,low,30,1.5,0.010040848725911213,-0.039176895497167505,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
excess_ret_5d,low,30,1.5,0.010040848725911213,-0.039176895497167505,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
excess_ret_5d_rank,low,30,1.5,0.010040848725911213,-0.039176895497167505,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
drawdown_20d,low,40,2.0,0.0099795792430813,-0.01983728429116148,0.0629929610454073,5,"0.01767,-0.01818,0.06299,0.01645,-0.00330,-0.01984,0.02825,-0.00011,0.01704,0.01794,0.00331,-0.00247"
drawdown_20d_rank,low,40,2.0,0.0099795792430813,-0.01983728429116148,0.0629929610454073,5,"0.01767,-0.01818,0.06299,0.01645,-0.00330,-0.01984,0.02825,-0.00011,0.01704,0.01794,0.00331,-0.00247"
close_over_ma20,low,40,0.7,0.009956984588247009,-0.019411094093555792,0.02918419484307548,4,"0.02580,0.01568,0.02458,0.01312,0.01731,-0.01941,0.02918,-0.00237,0.01405,0.00567,-0.00325,-0.00088"
ret_15d,low,30,2.0,0.009937250271552303,-0.026268376258496207,0.036854530000530655,3,"0.01874,0.00769,0.01700,0.02873,0.00940,0.00290,0.02962,-0.00164,0.03685,0.00501,-0.00880,-0.02627"
ret_15d_rank,low,30,2.0,0.009937250271552303,-0.026268376258496207,0.036854530000530655,3,"0.01874,0.00769,0.01700,0.02873,0.00940,0.00290,0.02962,-0.00164,0.03685,0.00501,-0.00880,-0.02627"
close_over_ma20,low,30,0.7,0.009908750774846922,-0.01841493539596481,0.03155556421069615,4,"0.02708,0.01414,0.03156,0.01159,0.01579,-0.01841,0.03061,-0.00405,0.01245,0.00586,-0.00588,-0.00182"
ret_5d,low,40,2.0,0.009882857098015571,-0.03704702737560709,0.03391085940243515,4,"0.01921,0.03220,0.01963,0.01746,-0.01658,-0.01734,0.02170,-0.03705,0.02926,-0.01181,0.03391,0.02800"
ret_5d_rank,low,40,2.0,0.009882857098015571,-0.03704702737560709,0.03391085940243515,4,"0.01921,0.03220,0.01963,0.01746,-0.01658,-0.01734,0.02170,-0.03705,0.02926,-0.01181,0.03391,0.02800"
excess_ret_5d,low,40,2.0,0.009882857098015571,-0.03704702737560709,0.03391085940243515,4,"0.01921,0.03220,0.01963,0.01746,-0.01658,-0.01734,0.02170,-0.03705,0.02926,-0.01181,0.03391,0.02800"
excess_ret_5d_rank,low,40,2.0,0.009882857098015571,-0.03704702737560709,0.03391085940243515,4,"0.01921,0.03220,0.01963,0.01746,-0.01658,-0.01734,0.02170,-0.03705,0.02926,-0.01181,0.03391,0.02800"
close_over_ma20,low,40,1.0,0.009879237299154594,-0.019173558483338668,0.029926123678408717,4,"0.02650,0.01562,0.02772,0.01181,0.01632,-0.01917,0.02993,-0.00356,0.01328,0.00562,-0.00447,-0.00104"
ret_15d,low,30,1.5,0.009866337591581648,-0.02755315011726698,0.037812620174609624,3,"0.01877,0.00911,0.01477,0.02793,0.01109,0.00277,0.02838,-0.00150,0.03781,0.00501,-0.00820,-0.02755"
