blend,mean,min,max,neg,vals
best0.65+reg0.25+sp400.10,0.020412576724324488,0.005018034959969747,0.02894980713981153,0,"0.02372,0.01279,0.02313,0.02835,0.02507,0.00502,0.00834,0.02835,0.02895"
best0.50+reg0.15+sp400.35,0.020279562371332636,0.008801587753008072,0.032187969443854214,0,"0.01974,0.01139,0.02391,0.02217,0.02340,0.00880,0.01039,0.03054,0.03219"
best0.70+reg0.30,0.020143022263131707,0.002801036779783911,0.030325962064827044,0,"0.02535,0.01349,0.02271,0.03033,0.02554,0.00280,0.00710,0.02694,0.02703"
best0.55+reg0.20+sp400.25,0.02001000791013986,0.006584589572822236,0.030270643051612728,0,"0.02138,0.01209,0.02349,0.02415,0.02387,0.00658,0.00914,0.02913,0.03027"
best0.60+reg0.25+sp400.15,0.019740453448947086,0.004367591392636372,0.028353316659371297,0,"0.02301,0.01279,0.02307,0.02612,0.02434,0.00437,0.00790,0.02772,0.02835"
best0.40+t30.60,0.019656795617626927,0.003685336215000598,0.035758101391724334,0,"0.01019,0.00929,0.01865,0.02777,0.02610,0.00369,0.02022,0.02525,0.03576"
best0.65+reg0.30+sp400.05,0.019470898987754306,0.002150593212450508,0.028101689824463483,0,"0.02464,0.01349,0.02265,0.02810,0.02481,0.00215,0.00665,0.02631,0.02644"
best0.50+reg0.20+sp400.30,0.019337884634762464,0.005934146005488861,0.029674152571172507,0,"0.02066,0.01209,0.02343,0.02192,0.02314,0.00593,0.00870,0.02850,0.02967"
best0.55+reg0.25+sp400.20,0.019068330173569695,0.0037171478253029966,0.027756826178931063,0,"0.02230,0.01279,0.02301,0.02390,0.02361,0.00372,0.00745,0.02709,0.02776"
best0.60+reg0.30+sp400.10,0.01879877571237691,0.0015001496451171464,0.025877417584099893,0,"0.02393,0.01349,0.02259,0.02588,0.02408,0.00150,0.00621,0.02568,0.02584"
best0.45+reg0.20+sp400.35,0.018665761359385063,0.005283702438155458,0.02907766209073226,0,"0.01995,0.01209,0.02337,0.01970,0.02241,0.00528,0.00825,0.02787,0.02908"
best0.65+reg0.35,0.018529221251184138,-0.0007168485350687176,0.027855642383141282,1,"0.02556,0.01419,0.02217,0.02786,0.02455,-0.00072,0.00496,0.02427,0.02392"
best0.50+reg0.25+sp400.25,0.018396206898192297,0.0030667042579696213,0.02716033569849083,0,"0.02159,0.01279,0.02295,0.02167,0.02288,0.00307,0.00700,0.02646,0.02716"
best0.55+reg0.30+sp400.15,0.01812665243699952,0.0008497060777837573,0.02524300930624937,0,"0.02322,0.01349,0.02253,0.02365,0.02335,0.00085,0.00576,0.02505,0.02524"
best0.60+reg0.35+sp400.05,0.017857097975806733,-0.0013672921024021067,0.025631370142777693,1,"0.02485,0.01419,0.02210,0.02563,0.02382,-0.00137,0.00451,0.02365,0.02333"
best0.45+reg0.25+sp400.30,0.0177240836228149,0.002416260690636232,0.026563845218050608,0,"0.02088,0.01279,0.02288,0.01945,0.02215,0.00242,0.00656,0.02583,0.02656"
best0.50+reg0.30+sp400.20,0.017454529161622122,0.00019926251045036814,0.02464651882580915,0,"0.02251,0.01349,0.02246,0.02143,0.02262,0.00020,0.00531,0.02443,0.02465"
best0.55+reg0.35+sp400.10,0.01718497470042935,-0.002017735669735468,0.02414311261746653,1,"0.02414,0.01419,0.02204,0.02341,0.02309,-0.00202,0.00407,0.02302,0.02273"
best0.40+reg0.25+sp400.35,0.017051960347437504,0.0017658171233028708,0.02596735473761036,0,"0.02017,0.01279,0.02282,0.01723,0.02141,0.00177,0.00611,0.02521,0.02597"
best0.60+reg0.40,0.016915420239236572,-0.004234733849921318,0.025776455020099866,1,"0.02578,0.01489,0.02162,0.02539,0.02356,-0.00423,0.00282,0.02161,0.02081"
best0.45+reg0.30+sp400.25,0.01678240588624472,-0.000451181056883021,0.024050028345368887,1,"0.02180,0.01349,0.02240,0.01920,0.02189,-0.00045,0.00487,0.02380,0.02405"
best0.50+reg0.35+sp400.15,0.016512851425051944,-0.0026681792370688573,0.023432190189333457,1,"0.02343,0.01419,0.02198,0.02118,0.02236,-0.00267,0.00362,0.02239,0.02213"
best0.40+reg0.30+sp400.30,0.016110282610867326,-0.0011016246242163963,0.023453537864928653,1,"0.02109,0.01349,0.02234,0.01698,0.02116,-0.00110,0.00442,0.02317,0.02345"
best0.45+reg0.35+sp400.20,0.01584072814967455,-0.0033186228044022326,0.022721267761200377,1,"0.02272,0.01419,0.02192,0.01896,0.02163,-0.00332,0.00318,0.02176,0.02154"
best0.35+reg0.30+sp400.35,0.015438159335489927,-0.0017520681915497577,0.022857047384488405,1,"0.02038,0.01349,0.02228,0.01476,0.02042,-0.00175,0.00398,0.02254,0.02286"
best0.55+reg0.45,0.015301619227288997,-0.00775261916477394,0.025987952566467045,1,"0.02599,0.01559,0.02108,0.02292,0.02257,-0.00775,0.00069,0.01895,0.01770"
best0.40+reg0.35+sp400.25,0.015168604874297152,-0.003969066371735622,0.022010345333067307,1,"0.02201,0.01419,0.02185,0.01673,0.02090,-0.00397,0.00273,0.02113,0.02094"
