kind,key,lam_current,mean,min,max,neg,vals
pair,stage2_shapegrid_regularized_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06609115081866318,0.03423483719694167,0.13492134089422417,0,"0.03423,0.06357,0.13492,0.03446,0.04479,0.07738,0.06517,0.05696,0.06887,0.06758,0.06391,0.08124"
pair,stage2_hybrid_gate_regularized_top30_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06609033222232769,0.03423483719694167,0.13492134089422417,0,"0.03423,0.06357,0.13492,0.03445,0.04479,0.07738,0.06517,0.05696,0.06887,0.06758,0.06391,0.08124"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.7000000000000001,0.06608946322916075,0.03426074825968199,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03426,0.04546,0.07761,0.06517,0.05696,0.06895,0.06360,0.06415,0.08130"
pair,stage2_hybrid_gate_secondary_alpha_v2_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06606505300039632,0.03423483719694167,0.13492134089422417,0,"0.03423,0.06357,0.13492,0.03436,0.04458,0.07738,0.06517,0.05696,0.06887,0.06758,0.06391,0.08124"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.65,0.06601549083319669,0.034205710500015994,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03421,0.04546,0.07761,0.06517,0.05696,0.06895,0.06276,0.06415,0.08130"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.8,0.06594511823048428,0.0341218160041597,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03412,0.04284,0.07761,0.06517,0.05696,0.06895,0.06462,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.6000000000000001,0.0659415184372326,0.03415067274034999,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03415,0.04546,0.07761,0.06517,0.05696,0.06895,0.06193,0.06415,0.08130"
pair,stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,0.9,0.06587378206334421,0.034305469361251444,0.13272878576800093,0,"0.03431,0.06419,0.13273,0.03436,0.04415,0.07761,0.06517,0.05696,0.06895,0.06661,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.55,0.06586754604126853,0.03409563498068399,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03410,0.04546,0.07761,0.06517,0.05696,0.06895,0.06110,0.06415,0.08130"
pair,stage2_hybrid_gate_secondary_alpha_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.0658099928111451,0.033707938961605934,0.13492134089422417,0,"0.03371,0.06264,0.13492,0.03436,0.04458,0.07738,0.06517,0.05590,0.06887,0.06758,0.06338,0.08124"
