n,topk,power,mix_agg,mean,min,max,neg,keys,vals
3,35,2.5,0.25,0.06948300500406486,0.03647068815175865,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03647,0.06418,0.14214,0.04015,0.04289,0.07353,0.06308,0.06703,0.08060,0.07099,0.07021,0.08254"
6,35,2.5,0.0,0.069375306755123,0.034557861526384286,0.1439360569453549,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03456,0.05697,0.14394,0.03702,0.04183,0.07212,0.06199,0.07017,0.08454,0.07423,0.07218,0.08295"
2,40,2.5,0.25,0.06932074034005647,0.03635687195471133,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03636,0.06418,0.14214,0.04167,0.04322,0.07353,0.05835,0.06703,0.08060,0.07203,0.07021,0.08254"
5,30,2.5,0.5,0.0692030148760336,0.036158170368136136,0.1419654765894459,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03616,0.06419,0.14197,0.03851,0.04240,0.07493,0.06757,0.06380,0.07669,0.07393,0.06818,0.08212"
5,35,2.5,0.25,0.06917399398717522,0.034900422916948816,0.13870523501571244,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03490,0.06418,0.13871,0.03830,0.04312,0.07353,0.06308,0.06703,0.08060,0.07390,0.07021,0.08254"
2,35,2.5,0.5,0.06906902229943977,0.03750465517452174,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03750,0.06419,0.14061,0.04154,0.04400,0.07493,0.06417,0.06380,0.07669,0.07110,0.06818,0.08212"
3,30,2.5,0.5,0.0690547894006166,0.03740579203137521,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03741,0.06419,0.14061,0.03929,0.04519,0.07493,0.06757,0.06380,0.07669,0.06870,0.06818,0.08212"
3,40,2.5,0.25,0.06893997429188191,0.03518834078234745,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03519,0.06418,0.14214,0.03930,0.04322,0.07353,0.05835,0.06703,0.08060,0.07099,0.07021,0.08254"
2,50,2.5,0.0,0.06872361777547914,0.03348043852432693,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03348,0.06418,0.14351,0.04012,0.04248,0.07212,0.04604,0.07017,0.08454,0.07292,0.07218,0.08295"
4,40,2.5,0.25,0.06871605745963456,0.03467694229967447,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03468,0.06418,0.14214,0.03880,0.04447,0.07353,0.05835,0.06703,0.08060,0.06807,0.07021,0.08254"
