as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260331,20260401,20260408,30,0.45,1.0,30,0.01678358164103689
20260331,20260401,20260408,30,0.65,0.7,30,0.017523357255349342
20260331,20260401,20260408,30,0.65,0.9,30,0.017523357255349363
20260331,20260401,20260408,30,0.65,1.0,30,0.017523357255349377
20260331,20260401,20260408,30,0.85,0.7,30,0.01786494632142209
20260331,20260401,20260408,30,0.85,0.9,30,0.01786494632142209
20260331,20260401,20260408,30,0.85,1.0,30,0.017864946321422104
20260331,20260401,20260408,30,1.1,0.7,30,0.018740355778908285
20260331,20260401,20260408,30,1.1,0.9,30,0.018740355778908285
20260331,20260401,20260408,30,1.1,1.0,30,0.0187403557789083
20260331,20260401,20260408,35,0.35,0.7,35,0.01617278984824927
20260331,20260401,20260408,35,0.35,0.9,35,0.016172789848249283
20260331,20260401,20260408,35,0.35,1.0,35,0.016172789848249297
20260331,20260401,20260408,35,0.45,0.7,35,0.017364128934503745
20260331,20260401,20260408,35,0.45,0.9,35,0.0173641289345038
20260331,20260401,20260408,35,0.45,1.0,35,0.017364128934503793
20260331,20260401,20260408,35,0.65,0.7,35,0.017584548119657248
20260331,20260401,20260408,35,0.65,0.9,35,0.017584548119657276
20260331,20260401,20260408,35,0.65,1.0,35,0.01758454811965726
20260331,20260401,20260408,35,0.85,0.7,35,0.017956145597951084
20260331,20260401,20260408,35,0.85,0.9,35,0.017956145597951126
20260331,20260401,20260408,35,0.85,1.0,35,0.017956145597951126
20260331,20260401,20260408,35,1.1,0.7,35,0.018775546433669174
20260331,20260401,20260408,35,1.1,0.9,35,0.018775546433669216
20260331,20260401,20260408,35,1.1,1.0,35,0.018775546433669195
20260331,20260401,20260408,40,0.35,0.7,40,0.016878101787301182
20260331,20260401,20260408,40,0.35,0.9,40,0.01687810178730126
20260331,20260401,20260408,40,0.35,1.0,40,0.016878101787301245
20260331,20260401,20260408,40,0.45,0.7,40,0.01745911986306705
20260331,20260401,20260408,40,0.45,0.9,40,0.017459119863067092
20260331,20260401,20260408,40,0.45,1.0,40,0.017459119863067085
20260331,20260401,20260408,40,0.65,0.7,40,0.017614874146717877
20260331,20260401,20260408,40,0.65,0.9,40,0.017614874146717904
20260331,20260401,20260408,40,0.65,1.0,40,0.017614874146717897
20260331,20260401,20260408,40,0.85,0.7,40,0.018618627418891004
20260331,20260401,20260408,40,0.85,0.9,40,0.018618627418891004
20260331,20260401,20260408,40,0.85,1.0,40,0.018618627418890997
20260331,20260401,20260408,40,1.1,0.7,40,0.018732884257922452
20260331,20260401,20260408,40,1.1,0.9,40,0.018732884257922466
20260331,20260401,20260408,40,1.1,1.0,40,0.018732884257922466
20260331,20260401,20260408,50,0.35,0.7,50,0.017447038541701043
20260331,20260401,20260408,50,0.35,0.9,50,0.01744703854170107
20260331,20260401,20260408,50,0.35,1.0,50,0.017447038541701043
20260331,20260401,20260408,50,0.45,0.7,50,0.01754324002662734
20260331,20260401,20260408,50,0.45,0.9,50,0.01754324002662737
