factor,direction,gamma,power,max_weight,mean,min,max,neg,delta_mean,delta_min
vol_20d_rank,low,3.0,3.0,0.1,0.05701868004691218,0.032739860237854634,0.08953917756638002,0,-0.0006704866197544818,0.0007798602378546321
turnover_ma_20d,high,5.0,1.0,0.1,0.056993047330408476,0.029557781959385198,0.09326922589012288,0,-0.000696119336258183,-0.0024022180406148043
turnover_ma_20d,high,2.0,2.0,0.1,0.05698739532848135,0.03139062731275974,0.09273184584849548,0,-0.00070177133818531,-0.0005693726872402632
turnover_ma_20d,low,0.5,1.0,0.1,0.05693510370699603,0.03199488519072168,0.09234986553666164,0,-0.0007540629596706275,3.488519072167989e-05
ret_1d,low,1.0,3.0,0.1,0.056932179227135025,0.03149849979804704,0.09675230789711756,0,-0.0007569874395316339,-0.00046150020195296487
ret_5d,high,0.5,3.0,0.1,0.05691864543009844,0.032256155022076426,0.08471343822417107,0,-0.0007705212365682196,0.00029615502207642336
ret_60d,high,3.0,2.0,0.1,0.05691196090097032,0.024444887959303194,0.1024881519788689,0,-0.0007772057656963427,-0.007515112040696808
amount_z_20d,low,0.5,2.0,0.1,0.05688411395696611,0.031084035114210797,0.09394616501790348,0,-0.0008050527097005489,-0.0008759648857892058
overnight_ret,high,2.0,3.0,0.1,0.056881143768023244,0.03146921024118974,0.08043559405687879,0,-0.0008080228986434151,-0.000490789758810263
ret_5d,low,0.5,3.0,0.1,0.0568801201683973,0.03148466607975855,0.09926441931763844,0,-0.0008090464982693571,-0.0004753339202414539
drawdown_20d,high,0.5,1.0,0.1,0.0568620477234422,0.032437073939562494,0.08276128734023647,0,-0.0008271189432244586,0.0004770739395624918
ret_60d,low,0.5,3.0,0.1,0.05685884524627677,0.03148431137866476,0.08854463240648086,0,-0.0008303214203898915,-0.0004756886213352421
ret_60d,high,2.0,3.0,0.1,0.05683772236741721,0.0272835249243729,0.10175727548625832,0,-0.0008514442992494514,-0.004676475075627101
turnover_ma_20d,low,1.0,2.0,0.1,0.056831389053148114,0.032086596677416965,0.0922130638614796,0,-0.0008577776135185455,0.00012659667741696246
amount_z_20d,high,0.5,2.0,0.1,0.056824908674975895,0.03277460855741529,0.08616911839870178,0,-0.0008642579916907644,0.0008146085574152889
ret_5d,high,0.5,2.0,0.1,0.056820832388836895,0.03233061469616295,0.08422268244017364,0,-0.0008683342778297645,0.000370614696162945
ret_20d,high,2.0,2.0,0.1,0.05681793969922135,0.027729463082213208,0.08531516838490666,0,-0.0008712269674453071,-0.0042305369177867945
drawdown_20d,high,0.5,2.0,0.1,0.05681441026319126,0.03247239380812822,0.08555446838739966,0,-0.0008747564034753963,0.000512393808128217
amount_z_20d,low,1.0,1.0,0.1,0.056806150440108165,0.030764978542265887,0.0957249029456568,0,-0.0008830162265584945,-0.0011950214577341155
turnover_ma_20d,low,2.0,3.0,0.1,0.056796263278209774,0.03225358434139516,0.09220407460656543,0,-0.0008929033884568852,0.0002935843413951547
ret_1d,low,1.0,2.0,0.1,0.05678686689769536,0.031336264666317,0.09721863758778243,0,-0.0009022997689712986,-0.0006237353336830051
ret_1d,low,1.0,1.0,0.1,0.056784165934601866,0.03132898964136992,0.09785353301942118,0,-0.0009050007320647938,-0.0006310103586300853
turnover_ma_20d,high,3.0,2.0,0.1,0.05678162955613949,0.03103901445368146,0.09259732298218867,0,-0.0009075371105271707,-0.0009209855463185417
turnover_ma_20d,high,2.0,3.0,0.1,0.0567697662227248,0.03080716884542524,0.09192693371348834,0,-0.0009194004439418563,-0.0011528311545747627
amount_z_20d,low,0.5,3.0,0.1,0.056756894366470134,0.031071939194746493,0.09315510470616095,0,-0.0009322723001965252,-0.0008880608052535093
drawdown_20d,high,0.5,3.0,0.1,0.056745933396866406,0.03242248643185279,0.08727723825772121,0,-0.0009432332698002532,0.0004624864318527877
ret_5d,high,0.5,1.0,0.1,0.05673400069952365,0.03238263226327025,0.08449809235805233,0,-0.0009551659671430124,0.00042263226327024506
vol_20d_rank,low,0.5,1.0,0.1,0.056716643804941846,0.032126315477778764,0.08838355455999097,0,-0.000972522861724813,0.0001663154777787612
ret_60d,low,0.5,2.0,0.1,0.05670750345799655,0.03153764552053014,0.08749131818400502,0,-0.0009816632086701096,-0.00042235447946985943
overnight_ret,low,0.5,3.0,0.1,0.05668897167936485,0.03172436758088948,0.09774236394972224,0,-0.0010001949873018126,-0.00023563241911052357
ret_5d,low,0.5,2.0,0.1,0.05667575336433913,0.03131272758119323,0.0987077332126502,0,-0.0010134133023275288,-0.0006472724188067713
amount_z_20d,high,1.0,1.0,0.1,0.056623429798994734,0.03284201237688404,0.08496183850229305,0,-0.001065736867671925,0.0008820123768840393
amount_z_20d,high,0.5,3.0,0.1,0.056620681108081015,0.03262757426732203,0.08570359222862525,0,-0.001068485558585644,0.0006675742673220297
close_over_ma20,high,2.0,1.0,0.1,0.056594397180468804,0.03030382140977176,0.08297981316339212,0,-0.0010947694861978552,-0.0016561785902282425
ret_5d,low,0.5,1.0,0.1,0.056592830960250466,0.03130702382736078,0.09804747800032707,0,-0.0010963357064161933,-0.0006529761726392219
ret_60d,high,5.0,2.0,0.1,0.056574354361013955,0.021685997709560152,0.10415264658663609,0,-0.0011148123056527043,-0.01027400229043985
