top_k,temperature,rank_blend,mean,min,max,count,negative_windows
30,0.35,0.9,0.03027068674423349,0.016507205946170174,0.05403317419622797,4,0
30,0.35,0.7,0.030270686744233482,0.0165072059461702,0.054033174196227926,4,0
30,0.85,1.0,0.029897191060917767,0.017864946321422104,0.05434320356408712,4,0
30,0.85,0.9,0.02989719106091776,0.01786494632142209,0.05434320356408712,4,0
30,0.85,0.7,0.029897191060917754,0.01786494632142209,0.05434320356408706,4,0
40,0.65,0.9,0.029747927067222013,0.017614874146717904,0.054065638865256546,4,0
40,0.65,1.0,0.029747927067222,0.017614874146717897,0.054065638865256505,4,0
40,0.65,0.7,0.029747927067222,0.017614874146717877,0.054065638865256505,4,0
60,0.45,0.9,0.02960524852376191,0.01757449862766844,0.05384315588488803,4,0
60,0.45,0.7,0.029605248523761903,0.017574498627668432,0.053843155884888,4,0
60,0.45,1.0,0.029605248523761903,0.017574498627668432,0.053843155884888,4,0
80,0.35,0.9,0.02956231939483892,0.01756171222337581,0.05376002229686899,4,0
80,0.35,1.0,0.0295623193948389,0.017561712223375797,0.05376002229686895,4,0
80,0.35,0.7,0.0295623193948389,0.017561712223375783,0.05376002229686895,4,0
35,0.85,0.9,0.028799039691248488,0.017813026716670455,0.05239686048255543,4,0
35,0.85,1.0,0.028799039691248484,0.01781302671667048,0.052396860482555416,4,0
35,0.85,0.7,0.028799039691248477,0.017813026716670448,0.052396860482555443,4,0
30,1.1,0.9,0.028082755452557662,0.01539945119941211,0.051266156376109415,4,0
30,1.1,0.7,0.02808275545255766,0.015399451199412094,0.05126615637610939,4,0
30,1.1,1.0,0.028082755452557645,0.015399451199412086,0.05126615637610936,4,0
50,0.65,0.7,0.028012196126475007,0.0165479906993427,0.051205647701393964,4,0
50,0.65,0.9,0.028012196126474997,0.016547990699342735,0.05120564770139392,4,0
50,0.65,1.0,0.02801219612647498,0.016547990699342735,0.05120564770139388,4,0
100,0.35,0.7,0.027895467553338674,0.016558896937632916,0.050929879623651864,4,0
100,0.35,0.9,0.027895467553338667,0.01655889693763291,0.050929879623651864,4,0
100,0.35,1.0,0.027895467553338663,0.016558896937632905,0.050929879623651864,4,0
40,0.85,0.9,0.027509634184332103,0.01564747791902205,0.04998101678378175,4,0
40,0.85,0.7,0.0275096341843321,0.01564747791902204,0.04998101678378172,4,0
40,0.85,1.0,0.02750963418433209,0.015647477919022042,0.04998101678378171,4,0
80,0.45,1.0,0.027123495463963844,0.015517907486006404,0.04927046099578841,4,0
80,0.45,0.7,0.02712349546396384,0.015517907486006365,0.04927046099578841,4,0
80,0.45,0.9,0.02712349546396383,0.015517907486006382,0.049270460995788384,4,0
35,1.1,0.9,0.02583122897593799,0.013438985572862123,0.04617811569361063,4,0
35,1.1,0.7,0.025831228975937974,0.013438985572862123,0.046178115693610605,4,0
35,1.1,1.0,0.02583122897593797,0.013438985572862147,0.046178115693610564,4,0
60,0.65,0.9,0.025510240410871503,0.01357126078188443,0.04602268120113494,4,0
60,0.65,0.7,0.025510240410871497,0.013571260781884423,0.04602268120113494,4,0
60,0.65,1.0,0.025510240410871493,0.013571260781884427,0.04602268120113494,4,0
