feature,direction,top_k,power,mean,min,max,neg,vals
ret_5d_rank,low,30,1.0,0.009482323364402323,-0.03605684058772468,0.0342753123850444,4,"0.01960,0.03410,0.01577,0.01552,-0.01675,-0.01844,0.02151,-0.03606,0.02777,-0.01120,0.03428,0.02770"
close_over_ma20,low,30,2.0,0.00944007451864659,-0.01983557703340924,0.04632531266914698,4,"0.02983,0.01597,0.04633,0.00848,0.01073,-0.01984,0.03367,-0.01221,0.00939,0.00399,-0.00981,-0.00325"
close_over_ma20,low,60,2.0,0.009362322049473655,-0.018511798227671572,0.028785059467839644,4,"0.02617,0.01539,0.02638,0.01295,0.01557,-0.01851,0.02879,-0.00431,0.01291,0.00391,-0.00493,-0.00196"
excess_ret_5d,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
excess_ret_5d_rank,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
ret_5d,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
ret_5d_rank,low,50,2.0,0.009289037805184122,-0.03354832549750172,0.032413654993524485,4,"0.01872,0.03241,0.01525,0.01600,-0.01469,-0.01729,0.02166,-0.03355,0.02793,-0.01198,0.03009,0.02690"
close_over_ma20,low,50,1.0,0.00928593540957233,-0.0186714190406332,0.027811096107493508,4,"0.02518,0.01540,0.02228,0.01435,0.01637,-0.01867,0.02781,-0.00283,0.01343,0.00374,-0.00375,-0.00187"
drawdown_20d,low,30,1.0,0.009260876620698974,-0.01943770088543255,0.05594649919539971,4,"0.01781,-0.01691,0.05595,0.01781,-0.00240,-0.01944,0.02759,0.00025,0.01644,0.01574,0.00169,-0.00340"
drawdown_20d_rank,low,30,1.0,0.009260876620698974,-0.01943770088543255,0.05594649919539971,4,"0.01781,-0.01691,0.05595,0.01781,-0.00240,-0.01944,0.02759,0.00025,0.01644,0.01574,0.00169,-0.00340"
excess_ret_5d,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
excess_ret_5d_rank,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
