n,topk,power,mix_agg,mean,min,max,neg,keys,vals
4,35,2.0,0.25,0.06510095638224224,0.03226713312540244,0.13336319718894363,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03227,0.06104,0.13336,0.03504,0.03953,0.06756,0.05844,0.06408,0.07495,0.06734,0.06822,0.07938"
2,80,2.0,0.75,0.06509237799173419,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04486,0.07426,0.05513,0.05933,0.07095,0.06235,0.06551,0.08066"
2,100,2.0,0.75,0.06509237799173419,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04486,0.07426,0.05513,0.05933,0.07095,0.06235,0.06551,0.08066"
2,30,1.6,0.75,0.06506737531489246,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04700,0.07221,0.06486,0.05825,0.06914,0.06093,0.06468,0.07958"
2,50,2.0,0.5,0.06504272281793572,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.05290,0.06171,0.07295,0.06443,0.06686,0.08002"
5,30,2.0,0.75,0.06495305612244313,0.033626023949301774,0.1313715666410957,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03363,0.06255,0.13137,0.03469,0.03783,0.07426,0.06627,0.05933,0.07095,0.06240,0.06551,0.08066"
3,35,1.6,0.75,0.06483132966778903,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03292,0.06170,0.13545,0.03374,0.04554,0.07221,0.06229,0.05825,0.06914,0.06246,0.06468,0.07958"
4,35,2.0,0.5,0.06481171681863172,0.032946578537352104,0.13193286490519415,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03295,0.06209,0.13193,0.03459,0.03811,0.07091,0.06108,0.06171,0.07295,0.06454,0.06686,0.08002"
3,30,1.6,0.75,0.06480658863142971,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03292,0.06170,0.13545,0.03454,0.03750,0.07221,0.06486,0.05825,0.06914,0.06685,0.06468,0.07958"
2,60,2.0,0.5,0.06476116277068701,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.04952,0.06171,0.07295,0.06443,0.06686,0.08002"
