mode,alpha_lstm,risk_penalty,top_k,rank_power,confidence_power,mean_excess,min_excess,std_excess,sum_excess,mean_port,count,utility
legacy,0.95,0.3,35,1.6,3.0,0.030520206877669098,0.025019677223380193,0.004931851618438242,0.0915606206330073,0.033298431597547494,3,0.04103928388542445
legacy,0.95,0.45,35,2.0,3.0,0.029038723717025653,0.027227362481629838,0.002106255418801508,0.08711617115107696,0.031816948436904045,3,0.040975098520938856
legacy,0.9,0.45,35,1.35,3.0,0.029453151400329208,0.02634113782301602,0.0028119634037099095,0.08835945420098762,0.0322313761202076,3,0.04088486891012993
legacy,0.9,0.2,40,1.6,3.0,0.03045703014648155,0.02480636675219102,0.00527772706129462,0.09137109043944465,0.03323525486635994,3,0.04082823612577332
legacy,0.9,0.45,40,1.35,2.5,0.02920421612810128,0.026737009136797434,0.0031231966234696604,0.08761264838430384,0.03198244084797967,3,0.04076739074613968
legacy,0.9,0.45,40,1.6,2.5,0.02900776766511991,0.02664483229543073,0.002256718189521811,0.08702330299535974,0.0317859923849983,3,0.04065943446963547
legacy,0.9,0.45,35,1.6,3.0,0.028850216920239414,0.026667045554359226,0.0019242655870915547,0.08655065076071825,0.031628441640117806,3,0.04056174758163734
legacy,0.9,0.3,40,1.6,2.5,0.02907674182109858,0.02590684249332824,0.0031896376296562264,0.08723022546329574,0.03185496654097698,3,0.04025637529864785
legacy,0.95,0.1,40,1.35,3.0,0.030903877667863112,0.02302962161902348,0.006998193587496907,0.09271163300358934,0.033682102387741504,3,0.04021747835829914
legacy,0.95,0.2,40,1.35,2.5,0.029765427721526794,0.024541448217205677,0.004621905057710118,0.08929628316458038,0.03254365244140519,3,0.04011579366061283
legacy,0.95,0.2,35,1.35,3.0,0.030798734516390095,0.022951966362012785,0.0069657408424785815,0.09239620354917029,0.03357695923626849,3,0.04008225825292406
legacy,0.95,0.3,35,1.35,2.5,0.029371688575958205,0.0248083179617097,0.00408988959859981,0.08811506572787461,0.0321499132958366,3,0.039921948218937596
legacy,0.9,0.45,40,2.0,2.5,0.0282516054548231,0.0264529542203824,0.0016365145171700264,0.0847548163644693,0.031029830174701494,3,0.03990995767641967
legacy,0.95,0.2,40,2.0,3.0,0.030442811818161424,0.02329358095558124,0.006769837680169809,0.09132843545448427,0.033221036538039816,3,0.039909447596147514
legacy,0.9,0.3,35,1.6,3.0,0.029610899089813347,0.0244618778492095,0.004840507002397848,0.08883269726944004,0.03238912380969174,3,0.03989266807159795
legacy,0.9,0.45,35,1.35,2.5,0.028079595908895805,0.02650351491889538,0.0014735675949807173,0.08423878772668741,0.030857820628774197,3,0.03978514248315162
legacy,0.85,0.3,40,1.6,3.0,0.029518187669485236,0.024066245208994655,0.004726559835023523,0.08855456300845571,0.03229641238936363,3,0.039639014038279304
legacy,0.9,0.45,35,2.0,3.0,0.027920744530511316,0.026563395062519958,0.002186541304230985,0.08376223359153395,0.030698969250389712,3,0.039546291113010654
legacy,0.95,0.3,40,2.0,2.5,0.02897338228805112,0.024892276599507344,0.004193409315175257,0.08692014686415336,0.03175160700792951,3,0.03954589536055314
legacy,0.95,0.45,40,1.35,2.0,0.027682948563407795,0.0266555172697842,0.001733856993146656,0.08304884569022339,0.03046117328328619,3,0.03941785278583869
legacy,0.85,0.45,40,1.35,2.5,0.02752667965043926,0.02650979962115916,0.000887426587516244,0.08258003895131778,0.030304904370317656,3,0.039322975491833445
legacy,0.85,0.45,40,2.0,3.0,0.027777265932761242,0.02594018469635085,0.0018264372501201602,0.08333179779828373,0.030555490652639638,3,0.039176383458601104
legacy,0.9,0.45,35,1.6,2.5,0.027535884933479526,0.026326040687238463,0.0019216107354238785,0.08260765480043858,0.03031410965335792,3,0.039094361632423254
legacy,0.95,0.45,40,1.6,2.0,0.027450619141693753,0.026183021205233085,0.0011785109879122978,0.08235185742508126,0.030228843861572142,3,0.03905620203586179
legacy,0.95,0.45,35,1.35,2.0,0.027051615844325624,0.026627611698554637,0.0007150048955340267,0.08115484753297687,0.029829840564204017,3,0.038926790374345106
legacy,0.95,0.2,40,1.6,2.5,0.029156819985918753,0.02316558593215129,0.005395398343910914,0.08747045995775626,0.031935044705797146,3,0.0387720239038002
legacy,0.95,0.1,40,1.6,3.0,0.030253635114966603,0.021522708820846115,0.007866779004863779,0.0907609053448998,0.033031859834844995,3,0.03875883723361779
legacy,0.85,0.45,40,1.6,2.5,0.027195720313592613,0.025961155097792538,0.001097123431415554,0.08158716094077784,0.029973945033471006,3,0.038713671592886925
legacy,0.85,0.45,35,1.35,3.0,0.027618243668702806,0.02532076297475562,0.0022019200116328505,0.08285473100610842,0.0303964683885812,3,0.03868229900559791
legacy,0.95,0.45,35,2.0,2.5,0.027593009545867672,0.025382705693994333,0.0026364354379698816,0.08277902863760302,0.030371234265746064,3,0.03861976179246964
legacy,0.9,0.2,40,2.0,3.0,0.029572681449134584,0.021991774790037104,0.0069709765424915,0.08871804434740375,0.03235090616901298,3,0.03842333362327756
legacy,0.9,0.2,35,1.35,3.0,0.02965759051043969,0.021790044223473963,0.007085393385109596,0.08897277153131908,0.032435815230318084,3,0.03840030140323654
legacy,0.9,0.3,35,1.35,2.5,0.028444298757376512,0.02355374649916899,0.004528739167408655,0.08533289627212953,0.031222523477254904,3,0.03836417380689126
legacy,0.95,0.3,40,1.35,2.0,0.027477687395694294,0.024885592814323024,0.002257667138295104,0.08243306218708288,0.030255912115572686,3,0.03833755409139539
legacy,0.9,0.3,40,2.0,2.5,0.028332818130648946,0.02369267381808101,0.004501050779366121,0.08499845439194684,0.031111042850527338,3,0.03831936373188048
legacy,0.95,0.05,40,1.35,3.0,0.030262685108848022,0.02062253914424239,0.008489677524359989,0.09078805532654406,0.033040909828726414,3,0.0382693760951031
legacy,0.9,0.45,40,1.35,2.0,0.026740270502466874,0.025781348559991805,0.0013343529047319062,0.08022081150740062,0.02951849522234527,3,0.0381417244187534
legacy,0.9,0.45,40,1.6,2.0,0.026468522453944054,0.02588873438191889,0.0005082319440721321,0.07940556736183216,0.029246747173822446,3,0.03804221813419673
legacy,0.9,0.2,40,1.35,2.5,0.028270300111103475,0.023071784659972366,0.0045298283708021135,0.08481090033331043,0.03104852483098187,3,0.03797312895247072
legacy,0.95,0.3,35,1.6,2.5,0.028389517775051217,0.022743467225826514,0.0053039332090571425,0.08516855332515365,0.031167742494929606,3,0.03782848804531458
legacy,0.9,0.1,40,1.35,3.0,0.02912204419109875,0.021501984516467287,0.006695302466909166,0.08736613257329626,0.03190026891097714,3,0.037793641853472656
