feature,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,asof_20260130,asof_20260309,asof_20260421,asof_20260428,vals
close,low,80,2,-0.0024614665426534524,-0.0448370216734649,0.02843703129717147,6,0.01164989418408371,0.01749995550286943,-0.0011901021018891102,-0.013027487584702666,"0.01165,-0.03467,0.02844,0.02740,0.01750,0.00278,-0.00245,0.00553,-0.04484,-0.02666,-0.00119,-0.01303"
amount_trend_5_20,high,60,16,-0.0024633437359405674,-0.06034903253358004,0.09393809915603094,6,0.0052620615075306965,-0.01143575392340409,0.002364563556703103,-0.007098858884973372,"0.00526,-0.01409,-0.05862,0.01453,-0.01144,0.09394,0.00579,-0.06035,-0.04002,0.04017,0.00236,-0.00710"
amount_trend_5_20_rank,high,60,16,-0.0024633437359405674,-0.06034903253358004,0.09393809915603094,6,0.0052620615075306965,-0.01143575392340409,0.002364563556703103,-0.007098858884973372,"0.00526,-0.01409,-0.05862,0.01453,-0.01144,0.09394,0.00579,-0.06035,-0.04002,0.04017,0.00236,-0.00710"
close,low,60,1,-0.002467780661374638,-0.045065612533605935,0.027842834986178965,6,0.01148535726658399,0.016690388792317025,-0.0005918613771351711,-0.013021078805812124,"0.01149,-0.03487,0.02743,0.02784,0.01669,0.00314,-0.00186,0.00573,-0.04507,-0.02653,-0.00059,-0.01302"
ret_min_20d,low,30,8,-0.002469049549699894,-0.034303023924123224,0.06422071643230848,8,-0.029436936708485698,0.004447783283727534,-0.034303023924123224,-0.0033253863944701506,"-0.02944,-0.01603,-0.03324,0.01242,0.00445,-0.00139,-0.00718,-0.02072,0.03490,0.06422,-0.03430,-0.00333"
ret_min_20d_rank,low,30,8,-0.002469049549699894,-0.034303023924123224,0.06422071643230848,8,-0.029436936708485698,0.004447783283727534,-0.034303023924123224,-0.0033253863944701506,"-0.02944,-0.01603,-0.03324,0.01242,0.00445,-0.00139,-0.00718,-0.02072,0.03490,0.06422,-0.03430,-0.00333"
turnover_ma_20d,high,50,32,-0.0024728507280339963,-0.047612142562806714,0.05866353767475575,7,-0.009298706929428184,-0.047612142562806714,-0.007457018043347082,0.05866353767475575,"-0.00930,0.01144,-0.03320,-0.01568,-0.04761,0.00229,0.01910,-0.01337,0.01794,-0.01250,-0.00746,0.05866"
turnover_ma_20d,high,60,16,-0.002473016483269358,-0.0451263961885437,0.04857426914574983,8,-0.012139298179027244,-0.0451263961885437,-0.01357374948995178,0.04857426914574983,"-0.01214,0.01339,-0.02895,-0.01435,-0.04513,-0.00067,0.01935,-0.01124,0.02507,-0.01001,-0.01357,0.04857"
low,low,50,4,-0.0024738720398930067,-0.04790246274761529,0.04254167967546661,7,0.011091088326208153,0.02352567699998152,-0.004660641752940873,-0.003948906410467724,"0.01109,-0.03410,0.04254,0.02217,0.02353,-0.00021,-0.00771,0.00264,-0.04790,-0.03312,-0.00466,-0.00395"
ret_min_20d,low,50,16,-0.0024812894762080324,-0.034020619844129796,0.06416192569066209,8,-0.02946076161388108,0.0043432773757927055,-0.034020619844129796,-0.0031540027118283354,"-0.02946,-0.01584,-0.03304,0.01228,0.00434,-0.00143,-0.00743,-0.02085,0.03465,0.06416,-0.03402,-0.00315"
ret_min_20d_rank,low,50,16,-0.0024812894762080324,-0.034020619844129796,0.06416192569066209,8,-0.02946076161388108,0.0043432773757927055,-0.034020619844129796,-0.0031540027118283354,"-0.02946,-0.01584,-0.03304,0.01228,0.00434,-0.00143,-0.00743,-0.02085,0.03465,0.06416,-0.03402,-0.00315"
turnover,low,60,16,-0.002483801419860024,-0.04991336872193736,0.027976312671034956,5,0.027705043784713283,0.023237621282869707,0.01736271299692311,-0.04991336872193736,"0.02771,-0.02874,-0.04779,0.01863,0.02324,0.02346,0.01069,0.02798,-0.03467,-0.01776,0.01736,-0.04991"
ma5_over_ma20,high,30,32,-0.0024865669160266507,-0.07374812913175065,0.08558997439687628,7,-0.03850872213198066,-0.04872164616545629,0.030686628569969343,0.07899920323102108,"-0.03851,-0.01899,-0.00970,-0.05845,-0.04872,0.08559,0.02108,-0.03035,-0.07375,0.03227,0.03069,0.07900"
ma5_over_ma20_rank,high,30,32,-0.0024865669160266507,-0.07374812913175065,0.08558997439687628,7,-0.03850872213198066,-0.04872164616545629,0.030686628569969343,0.07899920323102108,"-0.03851,-0.01899,-0.00970,-0.05845,-0.04872,0.08559,0.02108,-0.03035,-0.07375,0.03227,0.03069,0.07900"
amount,low,40,32,-0.002487583056486038,-0.0510887800292317,0.02891889831988494,6,0.02891889831988494,0.024241555627685568,-0.006532246474603098,-0.0510887800292317,"0.02892,-0.02714,-0.03495,0.02810,0.02424,0.02795,0.01139,0.02746,-0.04793,-0.01028,-0.00653,-0.05109"
turnover_ma_20d,high,30,16,-0.0024880244923179834,-0.04769380785852547,0.058613767471966685,7,-0.009293895122177237,-0.04769380785852547,-0.007535256301409481,0.058613767471966685,"-0.00929,0.01144,-0.03323,-0.01569,-0.04769,0.00225,0.01919,-0.01336,0.01799,-0.01254,-0.00754,0.05861"
high,low,60,1,-0.0024939686038764346,-0.045037774942168686,0.0279636457408973,6,0.012111059716655147,0.016984192669999502,-0.0004449761196559966,-0.01414252523134392,"0.01211,-0.03487,0.02737,0.02796,0.01698,0.00283,-0.00196,0.00598,-0.04504,-0.02670,-0.00044,-0.01414"
open,low,60,8,-0.0024953546312558015,-0.04978407314418423,0.050375486581259565,7,0.010197325171561456,0.022682912214072228,-0.004706763044356365,-0.0017764279738594901,"0.01020,-0.03442,0.05038,0.01921,0.02268,0.00138,-0.00864,-0.00018,-0.04978,-0.03427,-0.00471,-0.00178"
mom_accel_5_20,low,30,16,-0.0024983025332007726,-0.07263046298423868,0.08316462809476349,8,-0.07263046298423868,-0.04125933478641487,0.07567143537378081,0.06412357821939677,"-0.07263,-0.00686,0.08316,-0.05023,-0.04126,0.00154,-0.00626,-0.04173,-0.01376,-0.02175,0.07567,0.06412"
mom_accel_5_20_rank,low,30,16,-0.0024983025332007726,-0.07263046298423868,0.08316462809476349,8,-0.07263046298423868,-0.04125933478641487,0.07567143537378081,0.06412357821939677,"-0.07263,-0.00686,0.08316,-0.05023,-0.04126,0.00154,-0.00626,-0.04173,-0.01376,-0.02175,0.07567,0.06412"
amount,low,60,32,-0.002499457715606701,-0.05106870132567594,0.028577726759471865,6,0.028577726759471865,0.024192805363967597,-0.006321739248550735,-0.05106870132567594,"0.02858,-0.02722,-0.03534,0.02842,0.02419,0.02770,0.01110,0.02763,-0.04721,-0.01045,-0.00632,-0.05107"
mom_accel_5_20,low,50,32,-0.0025000475367090887,-0.07266702440488126,0.08315649368806366,8,-0.07266702440488126,-0.04123542892049645,0.07571650952929528,0.06410807850877978,"-0.07267,-0.00685,0.08316,-0.05018,-0.04124,0.00145,-0.00633,-0.04172,-0.01372,-0.02173,0.07572,0.06411"
mom_accel_5_20_rank,low,50,32,-0.0025000475367090887,-0.07266702440488126,0.08315649368806366,8,-0.07266702440488126,-0.04123542892049645,0.07571650952929528,0.06410807850877978,"-0.07267,-0.00685,0.08316,-0.05018,-0.04124,0.00145,-0.00633,-0.04172,-0.01372,-0.02173,0.07572,0.06411"
high,low,80,2,-0.00250737224201846,-0.044942803507789064,0.028275427180334406,6,0.012166995329841914,0.017746780950484736,-0.001036653932288266,-0.014058231958125153,"0.01217,-0.03468,0.02828,0.02749,0.01775,0.00251,-0.00257,0.00578,-0.04494,-0.02677,-0.00104,-0.01406"
amount_trend_5_20,high,80,32,-0.0025093575226567766,-0.06143919188392888,0.0931611584623677,6,0.005251167893293246,-0.010679709338858617,0.005778896126620224,-0.0068638166418900776,"0.00525,-0.01450,-0.05748,0.01086,-0.01068,0.09316,0.00440,-0.06144,-0.03813,0.03953,0.00578,-0.00686"
amount_trend_5_20_rank,high,80,32,-0.0025093575226567766,-0.06143919188392888,0.0931611584623677,6,0.005251167893293246,-0.010679709338858617,0.005778896126620224,-0.0068638166418900776,"0.00525,-0.01450,-0.05748,0.01086,-0.01068,0.09316,0.00440,-0.06144,-0.03813,0.03953,0.00578,-0.00686"
turnover_ma_20d,high,60,32,-0.0025096855174328823,-0.04723011630235819,0.05716498193710089,7,-0.009620526215215905,-0.04723011630235819,-0.008655498022570117,0.05716498193710089,"-0.00962,0.01161,-0.03191,-0.01529,-0.04723,0.00155,0.01886,-0.01330,0.01870,-0.01200,-0.00866,0.05716"
ma5_over_ma20,high,40,32,-0.0025114859888268302,-0.07352523023110132,0.08686346315168633,7,-0.03822815511506396,-0.049330576790516854,0.03073334720869396,0.07797714130380101,"-0.03823,-0.01915,-0.01010,-0.05786,-0.04933,0.08686,0.02077,-0.03232,-0.07353,0.03403,0.03073,0.07798"
ma5_over_ma20_rank,high,40,32,-0.0025114859888268302,-0.07352523023110132,0.08686346315168633,7,-0.03822815511506396,-0.049330576790516854,0.03073334720869396,0.07797714130380101,"-0.03823,-0.01915,-0.01010,-0.05786,-0.04933,0.08686,0.02077,-0.03232,-0.07353,0.03403,0.03073,0.07798"
ret_20d,low,60,8,-0.002518245954259419,-0.034733871950450475,0.024036043824909516,6,0.024036043824909516,-0.002423240697364642,-0.031954939770137386,-0.014319922219138047,"0.02404,-0.00981,-0.03473,0.00856,-0.00242,0.00183,0.00922,0.00751,0.02016,-0.00829,-0.03195,-0.01432"
excess_ret_20d,low,60,8,-0.002518245954259419,-0.034733871950450475,0.024036043824909516,6,0.024036043824909516,-0.002423240697364642,-0.031954939770137386,-0.014319922219138047,"0.02404,-0.00981,-0.03473,0.00856,-0.00242,0.00183,0.00922,0.00751,0.02016,-0.00829,-0.03195,-0.01432"
ret_20d_rank,low,60,8,-0.002518245954259419,-0.034733871950450475,0.024036043824909516,6,0.024036043824909516,-0.002423240697364642,-0.031954939770137386,-0.014319922219138047,"0.02404,-0.00981,-0.03473,0.00856,-0.00242,0.00183,0.00922,0.00751,0.02016,-0.00829,-0.03195,-0.01432"
excess_ret_20d_rank,low,60,8,-0.002518245954259419,-0.034733871950450475,0.024036043824909516,6,0.024036043824909516,-0.002423240697364642,-0.031954939770137386,-0.014319922219138047,"0.02404,-0.00981,-0.03473,0.00856,-0.00242,0.00183,0.00922,0.00751,0.02016,-0.00829,-0.03195,-0.01432"
overnight_vol_20d,low,60,2,-0.002519914318499452,-0.06471380953346892,0.03624563990549538,6,0.032556497707174364,0.03167148389684885,0.006304226483525904,-0.05596429390589702,"0.03256,-0.03047,-0.02471,0.03040,0.03167,0.03625,-0.00086,0.01570,-0.06471,-0.00641,0.00630,-0.05596"
overnight_vol_20d_rank,low,60,2,-0.002519914318499452,-0.06471380953346892,0.03624563990549538,6,0.032556497707174364,0.03167148389684885,0.006304226483525904,-0.05596429390589702,"0.03256,-0.03047,-0.02471,0.03040,0.03167,0.03625,-0.00086,0.01570,-0.06471,-0.00641,0.00630,-0.05596"
turnover,low,40,8,-0.0025203521257886846,-0.05064296115854978,0.027936099120994103,5,0.02745452801560133,0.023547139030803292,0.017208172672861982,-0.05064296115854978,"0.02745,-0.02804,-0.04734,0.01875,0.02355,0.02325,0.01083,0.02794,-0.03532,-0.01787,0.01721,-0.05064"
ma5_over_ma20,high,50,32,-0.002522476446206482,-0.07309251599871626,0.08768880854161078,7,-0.03801117306291096,-0.04950245495435692,0.031087674238270774,0.07702557411654426,"-0.03801,-0.01912,-0.01026,-0.05756,-0.04950,0.08769,0.01997,-0.03370,-0.07309,0.03521,0.03109,0.07703"
ma5_over_ma20_rank,high,50,32,-0.002522476446206482,-0.07309251599871626,0.08768880854161078,7,-0.03801117306291096,-0.04950245495435692,0.031087674238270774,0.07702557411654426,"-0.03801,-0.01912,-0.01026,-0.05756,-0.04950,0.08769,0.01997,-0.03370,-0.07309,0.03521,0.03109,0.07703"
ma5_over_ma20,high,30,16,-0.002522922963957598,-0.07316565714835795,0.08772001817547184,7,-0.03801019487675139,-0.04954376715887533,0.031023574180581017,0.07708225099765736,"-0.03801,-0.01914,-0.01029,-0.05754,-0.04954,0.08772,0.02009,-0.03368,-0.07317,0.03518,0.03102,0.07708"
ma5_over_ma20_rank,high,30,16,-0.002522922963957598,-0.07316565714835795,0.08772001817547184,7,-0.03801019487675139,-0.04954376715887533,0.031023574180581017,0.07708225099765736,"-0.03801,-0.01914,-0.01029,-0.05754,-0.04954,0.08772,0.02009,-0.03368,-0.07317,0.03518,0.03102,0.07708"
