factor,direction,mean_excess,min_excess,max_excess,neg_windows,vals
turnover_ma_20d,low,0.006060968923121259,-0.034878623653518404,0.03638675591553407,3,"0.03438,0.03090,-0.01063,0.03639,-0.03488,-0.01980"
volume_z_20d,high,0.005845543010348908,-0.008564898313760803,0.0396718859338656,3,"0.03967,0.00125,0.01411,-0.00856,-0.00467,-0.00673"
amount_trend_5_20,low,0.0057252803114098035,-0.007249320414480939,0.02254590990525731,3,"-0.00070,0.02014,0.00132,-0.00170,-0.00725,0.02255"
amount_trend_5_20_rank,low,0.0057252803114098035,-0.007249320414480939,0.02254590990525731,3,"-0.00070,0.02014,0.00132,-0.00170,-0.00725,0.02255"
turnover_z_20d,high,0.005657347746491741,-0.009219132306055984,0.03973321549120634,3,"0.03973,0.00125,0.01411,-0.00922,-0.00467,-0.00726"
turnover_z_20d_rank,high,0.005657347746491741,-0.009219132306055984,0.03973321549120634,3,"0.03973,0.00125,0.01411,-0.00922,-0.00467,-0.00726"
downside_vol_20d,low,0.005360763724874364,-0.02774056146079169,0.040078525665205963,3,"0.02965,0.04008,-0.00869,-0.00416,-0.02774,0.00303"
downside_vol_20d_rank,low,0.005360763724874364,-0.02774056146079169,0.040078525665205963,3,"0.02965,0.04008,-0.00869,-0.00416,-0.02774,0.00303"
close_location_1d,high,0.005342864791009201,-0.026937659541173872,0.03238708449199001,3,"0.00764,-0.02694,-0.00137,0.02837,-0.00803,0.03239"
breadth_ret_5d_pos,high,0.00529768630992811,-0.02883844978650198,0.03716634504884772,2,"0.03717,0.02096,0.00195,-0.00236,-0.02884,0.00291"
breadth_ret_5d_pos,low,0.00529768630992811,-0.02883844978650198,0.03716634504884772,2,"0.03717,0.02096,0.00195,-0.00236,-0.02884,0.00291"
dispersion_ret_5d,high,0.00529768630992811,-0.02883844978650198,0.03716634504884772,2,"0.03717,0.02096,0.00195,-0.00236,-0.02884,0.00291"
dispersion_ret_5d,low,0.00529768630992811,-0.02883844978650198,0.03716634504884772,2,"0.03717,0.02096,0.00195,-0.00236,-0.02884,0.00291"
ret_min_20d,high,0.005197839334917358,-0.02489756419809185,0.04036216650405468,3,"0.03788,0.04036,-0.01054,-0.02370,-0.02490,0.01208"
ret_min_20d_rank,high,0.005197839334917358,-0.02489756419809185,0.04036216650405468,3,"0.03788,0.04036,-0.01054,-0.02370,-0.02490,0.01208"
drawdown_20d,high,0.005168487017688763,-0.007960303250462424,0.02954900269983822,2,"0.00380,0.00549,0.00248,-0.00796,-0.00235,0.02955"
drawdown_20d_rank,high,0.005168487017688763,-0.007960303250462424,0.02954900269983822,2,"0.00380,0.00549,0.00248,-0.00796,-0.00235,0.02955"
ret_10d,high,0.0050482378699655455,-0.0355312420665636,0.038004512110006945,3,"-0.00477,0.02993,0.03800,-0.03553,-0.00966,0.01231"
ret_10d_rank,high,0.0050482378699655455,-0.0355312420665636,0.038004512110006945,3,"-0.00477,0.02993,0.03800,-0.03553,-0.00966,0.01231"
vol_ratio_5_20,high,0.004884183176534176,-0.019088531854265872,0.019615216416072907,1,"0.00941,0.01435,0.00033,0.01962,-0.01909,0.00469"
vol_ratio_5_20_rank,high,0.004884183176534176,-0.019088531854265872,0.019615216416072907,1,"0.00941,0.01435,0.00033,0.01962,-0.01909,0.00469"
vol_5d,high,0.004662411893293288,-0.05942761395216295,0.06529048159046619,2,"-0.02300,0.03425,0.00195,-0.05943,0.06529,0.00891"
vol_20d,high,0.004363589238096909,-0.039378833702270646,0.0508378972966054,2,"-0.01982,0.01148,0.01897,-0.03938,0.05084,0.00409"
vol_20d_rank,high,0.004363589238096909,-0.039378833702270646,0.0508378972966054,2,"-0.01982,0.01148,0.01897,-0.03938,0.05084,0.00409"
ret_max_20d,low,0.0037028756084022223,-0.02441180593729266,0.03650159442099462,2,"0.01612,0.03650,-0.02441,0.01517,-0.02256,0.00139"
ret_max_20d_rank,low,0.0037028756084022223,-0.02441180593729266,0.03650159442099462,2,"0.01612,0.03650,-0.02441,0.01517,-0.02256,0.00139"
mom_accel_5_20,high,0.003679688141949427,-0.007988146532098611,0.01655140490930066,2,"-0.00710,0.00831,0.00883,0.00348,0.01655,-0.00799"
mom_accel_5_20_rank,high,0.003679688141949427,-0.007988146532098611,0.01655140490930066,2,"-0.00710,0.00831,0.00883,0.00348,0.01655,-0.00799"
ret_120d,high,0.0033493021276070115,-0.0422761973488982,0.04653211613040378,3,"-0.03347,0.02067,-0.00349,-0.04228,0.04653,0.03213"
ret_120d_rank,high,0.0033493021276070115,-0.0422761973488982,0.04653211613040378,3,"-0.03347,0.02067,-0.00349,-0.04228,0.04653,0.03213"
obv_20d,low,0.003271566047760483,-0.02390364306810234,0.027957988166281807,2,"0.00334,0.02673,0.00245,0.02796,-0.02390,-0.01694"
