cands,wg,mode,top,power,maxw,mean,median,min,max,neg,vals,objective
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,blend,0,0,0.1,0.0158867944143103,0.004028039887582167,-0.014438752292210866,0.05970640931667991,2,"-0.0043,0.0479,-0.0144,0.0215,0.0494,0.0012,0.0597,0.0055,0.0026,0.0005,0.0008,0.0204",-0.015568044994741568
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,blend,0,0,0.08,0.01585518666719958,0.004028039887582167,-0.014438752292210866,0.05970640931667991,2,"-0.0043,0.0479,-0.0144,0.0215,0.0483,0.0019,0.0597,0.0055,0.0026,0.0005,0.0008,0.0204",-0.015599652741852288
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,35,8,0.1,0.02575934644601009,0.017274467864086242,-0.018481925664484526,0.12162492201761285,3,"-0.0027,0.0569,-0.0185,0.0288,0.0657,-0.0098,0.1216,0.0142,0.0033,0.0002,0.0204,0.0290",-0.01614746859345476
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,30,4,0.08,0.023783890430275494,0.007684119557113709,-0.010599179636648255,0.12133915959019212,3,"-0.0005,0.0598,-0.0106,0.0234,0.0501,-0.0093,0.1213,0.0065,0.0046,0.0009,0.0088,0.0303",-0.01627038148457935
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,30,8,0.1,0.025945060693501065,0.017931454378091276,-0.01941337749097051,0.12387138161070568,3,"0.0011,0.0573,-0.0194,0.0287,0.0656,-0.0118,0.1239,0.0139,0.0027,-0.0003,0.0220,0.0278",-0.016323529487653858
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,50,8,0.1,0.024527881431532155,0.014512581844666084,-0.015460422505383258,0.12082198554665785,3,"-0.0097,0.0526,-0.0155,0.0271,0.0627,-0.0032,0.1208,0.0139,0.0021,0.0010,0.0151,0.0274",-0.016394597518297978
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,35,8,0.08,0.02376671175581736,0.010468364089048995,-0.012325862393925607,0.12538159990127964,3,"0.0043,0.0568,-0.0036,0.0239,0.0459,-0.0123,0.1254,0.0057,0.0035,-0.0078,0.0152,0.0284",-0.016488296453823312
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,30,4,0.08,0.022908536893903198,0.009094495654413295,-0.010285377848077079,0.12102132995919057,3,"0.0002,0.0571,-0.0093,0.0236,0.0472,-0.0103,0.1210,0.0065,0.0041,-0.0058,0.0117,0.0290",-0.016534341118619063
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,30,4,0.08,0.023147262596551293,0.009091219456157686,-0.010702907344801386,0.1194565661142575,3,"-0.0032,0.0568,-0.0093,0.0229,0.0469,-0.0107,0.1195,0.0089,0.0026,0.0043,0.0093,0.0298",-0.016547115973482237
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,40,8,0.08,0.023423214927775816,0.009964443900229145,-0.011750650964237754,0.12345738305925491,3,"0.0031,0.0572,-0.0067,0.0236,0.0467,-0.0118,0.1235,0.0060,0.0037,-0.0067,0.0140,0.0286",-0.016637842480698096
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1:1,blend,0,0,0.06,0.015604182743097493,0.00210743915885034,-0.014930175299043662,0.06991915712692716,2,"0.0015,0.0463,-0.0149,0.0195,0.0395,-0.0016,0.0699,0.0013,0.0028,0.0007,0.0015,0.0210",-0.0167216906886736
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,35,8,0.08,0.023254700058670568,0.011550484422690719,-0.012442714987524084,0.12010766091269143,3,"0.0080,0.0558,-0.0078,0.0263,0.0466,-0.0124,0.1201,0.0047,0.0030,-0.0034,0.0151,0.0231",-0.01674578360703667
