kind,formula,topk,power,cpen,full_mean,full_min,full_neg,roll_mean,roll_min,roll_neg,all_full_mean,all_full_min,all_full_neg,full_vals,roll_vals,score
static,weekly_stable_flow,40,4,0.1,-0.0026611561840329035,-0.04051837870970638,7,-0.013314729959944439,-0.041009400025012445,9,0.003475061728714811,-0.0655809710265126,45,"-0.01418,0.00004,0.00280,0.00710,-0.02903,-0.00221,0.04961,-0.00036,0.02075,-0.00716,-0.04052,-0.01877","-0.04101,-0.01165,-0.03551,-0.00692,-0.01877,-0.01954,0.00321,0.02197,0.00816,-0.02282,-0.02001,-0.01688",-0.033141411374336724
static,weekly_stable_flow,40,4,0.2,0.0011810070304882523,-0.04134578162835307,6,-0.019707225096543147,-0.04118867831870358,9,0.00238321759957928,-0.07002242952349681,48,"-0.01256,-0.00484,0.01491,0.01551,-0.03475,0.01614,0.06322,0.01533,-0.00007,0.00530,-0.04135,-0.02268","-0.04119,-0.00712,-0.04034,-0.01532,-0.02268,-0.02521,0.00150,0.01700,0.00006,-0.02913,-0.03652,-0.03753",-0.032293155179798486
static,weekly_stable_flow,40,4,0.35,0.005537280734571804,-0.03648683803312846,6,-0.019853729930114625,-0.04278798112322036,10,0.002168055980473532,-0.05898955557496256,51,"-0.00816,-0.01344,0.01556,0.01975,-0.03649,0.02950,0.07510,0.02503,-0.00651,0.01946,-0.03417,-0.01916","-0.03552,-0.00469,-0.04279,-0.01287,-0.01916,-0.02502,0.00467,0.01285,-0.00255,-0.03268,-0.03925,-0.04124",-0.030161571896896593
static,weekly_stable_flow,40,8,0.0,-0.002291761020073647,-0.03483847793829936,7,0.010353928210955645,-0.033779600184740244,5,0.005529149449461849,-0.049381708586088605,55,"-0.03484,0.00930,-0.00432,-0.00136,-0.01297,-0.01218,0.00425,-0.02641,0.06415,0.01347,-0.02954,0.00295","-0.02601,-0.01874,-0.03378,-0.00530,0.00295,0.02011,0.04877,0.06343,0.05062,-0.00284,0.01228,0.01276",-0.019670573286468433
static,weekly_stable_flow,40,8,0.1,-0.003153633557441205,-0.04420298680488757,8,-0.015448905354167106,-0.04515330683355037,9,0.0038195832924598537,-0.06929803103108217,50,"-0.01840,-0.00102,0.00126,0.00640,-0.03296,-0.00046,0.04728,-0.00082,0.02934,-0.00432,-0.04420,-0.01994","-0.04515,-0.01309,-0.03716,-0.00822,-0.01994,-0.02557,0.00048,0.02107,0.00808,-0.02649,-0.02526,-0.01414",-0.03615216061330637
static,weekly_stable_flow,40,8,0.2,0.0002896073343459637,-0.0440083677230368,5,-0.019793277265913553,-0.04620968894051472,9,0.002359517996660944,-0.07058536201869077,47,"-0.01489,-0.00620,0.01429,0.01442,-0.03545,0.01865,0.05655,0.01446,0.00028,0.00815,-0.04401,-0.02279","-0.04621,-0.00444,-0.03945,-0.01794,-0.02279,-0.02550,0.00084,0.01985,0.00282,-0.02871,-0.03730,-0.03869",-0.032847413885043475
static,weekly_stable_flow,40,8,0.35,0.0061132279290774735,-0.0378246697106686,6,-0.01906127252792205,-0.043467166637976784,10,0.002381038918645619,-0.06098132633816693,53,"-0.00559,-0.01470,0.01544,0.02016,-0.03782,0.03165,0.07501,0.02307,-0.00728,0.02551,-0.03382,-0.01825","-0.03576,-0.00148,-0.04347,-0.01168,-0.01825,-0.02404,0.00561,0.01393,-0.00300,-0.03086,-0.04020,-0.03954",-0.02991060116551856
static,weekly_stable_flow,40,12,0.0,-0.0028233119390528097,-0.03925661266913318,7,0.01009517531993232,-0.03640101767254862,5,0.005600656494101149,-0.05177126232696981,55,"-0.03926,0.00867,-0.00376,-0.00031,-0.01445,-0.01243,0.00336,-0.02789,0.06709,0.01324,-0.02924,0.00109","-0.02339,-0.01847,-0.03640,-0.00459,0.00109,0.02040,0.05140,0.06331,0.05170,-0.00597,0.01159,0.01047",-0.021175594797465676
static,weekly_stable_flow,40,12,0.1,-0.0034816492110132627,-0.04511478958660973,7,-0.01559729075779017,-0.04518076683282722,9,0.003887064137831291,-0.07045260142610396,51,"-0.01892,-0.00254,0.00048,0.00563,-0.03459,-0.00101,0.04681,0.00018,0.03086,-0.00494,-0.04511,-0.01864","-0.04518,-0.00973,-0.03667,-0.01023,-0.01864,-0.02794,0.00046,0.02077,0.00719,-0.02786,-0.02635,-0.01298",-0.03555206927332432
static,weekly_stable_flow,40,12,0.2,0.0001448774926670352,-0.04466905145684425,5,-0.019916623242557375,-0.04673322207455645,10,0.0024301058883508214,-0.07058649156600391,47,"-0.01426,-0.00609,0.01415,0.01402,-0.03642,0.01929,0.05597,0.01375,0.00182,0.00624,-0.04467,-0.02207","-0.04673,-0.00347,-0.03945,-0.01753,-0.02207,-0.02591,-0.00055,0.01935,0.00242,-0.02957,-0.03614,-0.03934",-0.03413792096737221
static,weekly_stable_flow,40,12,0.35,0.005933208846454909,-0.03810189959296413,6,-0.018738880011005283,-0.042767938822974604,9,0.0024308143527814203,-0.06326229624725381,54,"-0.00414,-0.01509,0.01463,0.02061,-0.03810,0.03171,0.07569,0.02173,-0.00768,0.02494,-0.03419,-0.01893","-0.03571,0.00012,-0.04277,-0.01161,-0.01893,-0.02481,0.00652,0.01457,-0.00145,-0.03082,-0.04031,-0.03966",-0.02889095078572446
static,weekly_stable_flow,50,2,0.0,4.096919892118819e-05,-0.018720724087845874,6,0.006086529996775859,-0.026036959831018315,5,0.0045144384137312706,-0.036687603712332456,50,"-0.01649,0.00684,-0.00913,0.00408,-0.00347,-0.00800,0.01815,-0.01786,0.03583,0.00111,-0.01872,0.00816","-0.02604,-0.01193,-0.01209,-0.00792,0.00816,0.00533,0.02360,0.03487,0.03424,-0.00810,0.00884,0.02407",-0.014822182980171905
