k_sim,top_n,top_k,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
20,2,40,4,0.1,0.5,0.01772831759822112,-0.04284871529004257,0.05395059108899038,3,"0.02775,0.00513,-0.04285,0.02911,-0.02903,0.03170,0.02383,-0.00006,0.02947,0.04093,0.04281,0.05395",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
20,2,30,6,0.08,0.5,0.017192676180313466,-0.04518554985715529,0.04852265327930502,3,"0.03699,0.01007,-0.04519,0.02763,-0.02954,0.02353,0.02328,-0.00303,0.03532,0.03929,0.03943,0.04852",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
30,2,30,6,0.08,0.0,0.01709096600030532,-0.03460839410474235,0.051254471935744575,3,"0.02234,-0.00489,0.00836,-0.03461,-0.01969,0.02834,0.03170,0.00133,0.03492,0.04020,0.05125,0.04583",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,1,40,2,0.08,0.0,0.017084214042149905,-0.03234073542737572,0.04429556362846824,1,"0.02441,0.00195,-0.03234,0.02022,0.01328,0.01319,0.00688,0.02350,0.02469,0.02905,0.03588,0.04430",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,2,0.1,0.0,0.017084214042149905,-0.03234073542737572,0.04429556362846824,1,"0.02441,0.00195,-0.03234,0.02022,0.01328,0.01319,0.00688,0.02350,0.02469,0.02905,0.03588,0.04430",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,40,6,0.06,0.0,0.017044406357382736,-0.03691795962947347,0.03757089432463221,1,"0.02848,0.01127,-0.03692,0.01804,0.01713,0.00648,0.00420,0.02795,0.02617,0.03196,0.03757,0.03219",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,2,30,6,0.1,0.0,0.017031994426916712,-0.04003503039741759,0.06392742074626039,5,"-0.00675,-0.00274,-0.04004,0.01609,-0.01694,0.03904,0.03267,-0.01709,0.03343,0.04408,0.06393,0.05870",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_10d:low|ret_3d:low / ret_1d:high|overnight_vol_20d:low / ret_1d:high|drawdown_20d:high / intraday_mean_5d:low|ret_1d:high / ret_15d:low|intraday_mean_5d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
50,1,30,6,0.1,0.25,0.016966360920094823,-0.054959746355198354,0.06743906474911203,2,"0.02975,0.00909,-0.05496,0.00444,-0.03096,0.03819,0.03574,0.02783,0.00328,0.01081,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / ret_1d:high / overnight_vol_20d:low / amount_trend_5_20:low / amount_trend_5_20:low / ret_2d:high / ret_1d:high / ret_1d:high
20,1,30,4,0.06,0.0,0.016902769711103452,-0.038013742708319524,0.03803593946290043,1,"0.02788,0.01097,-0.03801,0.01823,0.01737,0.00529,0.00455,0.02897,0.02605,0.03209,0.03804,0.03143",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,6,0.06,0.0,0.01687368321051792,-0.03868986319189406,0.03974937366114509,1,"0.02748,0.01055,-0.03869,0.01836,0.01748,0.00345,0.00450,0.02991,0.02606,0.03249,0.03975,0.03115",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,2,40,6,0.1,0.0,0.01673130336472923,-0.037142842339342466,0.06137016087666569,5,"-0.00702,-0.00257,-0.03714,0.01693,-0.01575,0.03724,0.03194,-0.01361,0.03186,0.04271,0.06137,0.05483",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_10d:low|ret_3d:low / ret_1d:high|overnight_vol_20d:low / ret_1d:high|drawdown_20d:high / intraday_mean_5d:low|ret_1d:high / ret_15d:low|intraday_mean_5d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,1,50,4,0.06,0.0,0.016723036082608875,-0.03476409574316799,0.037638776790039484,1,"0.02640,0.00431,-0.03476,0.01775,0.01630,0.01015,0.00573,0.02543,0.02534,0.02974,0.03666,0.03764",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,5,30,6,0.1,0.0,0.016690958465434887,-0.04555945507403053,0.06228364188731687,2,"0.01838,0.00257,-0.04556,0.02074,-0.02102,0.03391,0.00651,0.02299,0.04252,0.03718,0.06228,0.01979",ret_1d:high|amount_z_20d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high|ret_3d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_10d:low|ret_3d:low|ret_1d:high / ret_1d:high|overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high|ret_5d:low / ret_15d:low|intraday_mean_5d:low|amount_trend_5_20:low / intraday_mean_5d:low|ret_5d:low|drawdown_20d:low / range_vol_20d:low|overnight_vol_20d:low|vol_5d:low / ret_1d:high|ret_2d:high|drawdown_20d:high / ret_1d:high|ret_2d:high|gap_mean_20d:high
20,1,50,6,0.06,0.0,0.016689260558937245,-0.036151456458757315,0.03592040522337107,1,"0.02714,0.00762,-0.03615,0.01799,0.01714,0.00826,0.00454,0.02555,0.02676,0.03146,0.03592,0.03405",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,2,30,4,0.1,0.0,0.016654916786951343,-0.03749382439159066,0.06141551951378446,5,"-0.00700,-0.00279,-0.03749,0.01676,-0.01578,0.03683,0.03213,-0.01378,0.03211,0.04278,0.06142,0.05467",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_10d:low|ret_3d:low / ret_1d:high|overnight_vol_20d:low / ret_1d:high|drawdown_20d:high / intraday_mean_5d:low|ret_1d:high / ret_15d:low|intraday_mean_5d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,2,30,4,0.08,0.5,0.016651143088233733,-0.04574129451800102,0.04748785055336491,3,"0.03414,0.00838,-0.04574,0.02729,-0.02952,0.02478,0.02391,-0.00228,0.03240,0.03887,0.04009,0.04749",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
30,2,30,4,0.08,0.0,0.01662737396495679,-0.034677475677146234,0.05189378160531755,3,"0.02188,-0.00501,0.00745,-0.03468,-0.01854,0.02821,0.02917,0.00163,0.03202,0.03956,0.05189,0.04594",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
