min_weight,rank_power,mean_excess,min_excess,max_excess,neg_windows,avg_capped,avg_eff_n,vals
0.0005,96,0.08654477062209089,0.04279367880506986,0.20036058820396815,0,9.0,10.208397827785264,"0.04279,0.06664,0.20036,0.06355,0.04404,0.07493,0.07376,0.08396,0.10204,0.09771,0.08465,0.10411"
0.0005,64,0.08637417481337668,0.04253871570001563,0.2003670604415825,0,9.0,10.263390443441038,"0.04254,0.06672,0.20037,0.06305,0.04411,0.07503,0.07363,0.08357,0.10164,0.09754,0.08426,0.10402"
0.0,32,0.08606413434051396,0.04200708810786509,0.20125815692003984,0,9.0,10.352321472021186,"0.04201,0.06651,0.20126,0.06122,0.04426,0.07494,0.07419,0.08345,0.10018,0.09749,0.08344,0.10383"
1e-05,32,0.08605448384528379,0.04199502428416235,0.20122861243427675,0,9.0,10.355074248566307,"0.04200,0.06652,0.20123,0.06122,0.04427,0.07495,0.07416,0.08342,0.10019,0.09747,0.08342,0.10382"
5e-05,32,0.0860158818643631,0.041946768989351374,0.20111043449122415,0,9.0,10.366042002635664,"0.04195,0.06656,0.20111,0.06121,0.04429,0.07499,0.07405,0.08330,0.10019,0.09740,0.08333,0.10380"
0.001,128,0.0859810917851792,0.04207542677402125,0.1988094633894709,0,9.0,10.373890960012618,"0.04208,0.06706,0.19881,0.06328,0.04439,0.07553,0.07234,0.08224,0.10200,0.09679,0.08341,0.10383"
0.0001,32,0.08596762938821229,0.04188644987083767,0.2009627120624085,0,9.0,10.379653549759025,"0.04189,0.06660,0.20096,0.06120,0.04432,0.07505,0.07392,0.08314,0.10020,0.09732,0.08323,0.10378"
0.001,96,0.08594924931362834,0.042027440583456914,0.19881535963081817,0,9.0,10.38357891540446,"0.04203,0.06708,0.19882,0.06319,0.04441,0.07555,0.07231,0.08217,0.10193,0.09676,0.08334,0.10381"
0.0002,32,0.0858711244359106,0.041765811633810254,0.20066726720477715,0,9.0,10.406545687018523,"0.04177,0.06668,0.20067,0.06119,0.04438,0.07516,0.07365,0.08283,0.10022,0.09716,0.08302,0.10373"
0.001,64,0.08579866753833872,0.041802389351062674,0.19882107255563977,0,9.0,10.42785877757984,"0.04180,0.06716,0.19882,0.06275,0.04448,0.07564,0.07220,0.08182,0.10158,0.09661,0.08299,0.10373"
0.0005,32,0.08558160957900555,0.041403896922728,0.1997809326318831,0,9.0,10.484503090678915,"0.04140,0.06693,0.19978,0.06114,0.04457,0.07549,0.07285,0.08190,0.10028,0.09666,0.08239,0.10359"
0.001,32,0.08509908481749716,0.04080070573759091,0.19830370834372632,0,9.0,10.604904275233293,"0.04080,0.06734,0.19830,0.06106,0.04488,0.07604,0.07151,0.08036,0.10038,0.09584,0.08134,0.10334"
0.002,128,0.08478158471379123,0.040530194507987116,0.19572057359846576,0,9.0,10.676120773944382,"0.04053,0.06796,0.19572,0.06253,0.04515,0.07677,0.06944,0.07865,0.10176,0.09489,0.08077,0.10321"
0.002,96,0.08475820669670325,0.04049496414023102,0.19572490248451818,0,9.0,10.681649142334011,"0.04049,0.06798,0.19572,0.06246,0.04516,0.07678,0.06942,0.07859,0.10171,0.09487,0.08072,0.10320"
0.002,64,0.08464765298826278,0.04032973665315677,0.19572909678375428,0,9.0,10.706858758799742,"0.04033,0.06803,0.19573,0.06214,0.04521,0.07685,0.06933,0.07834,0.10145,0.09475,0.08046,0.10314"
0.002,32,0.08413403529448037,0.03959432336731675,0.1953492597674128,0,9.0,10.806706960277781,"0.03959,0.06817,0.19535,0.06090,0.04550,0.07715,0.06883,0.07726,0.10057,0.09418,0.07925,0.10286"
0.003,128,0.08358207764240327,0.03898496224195299,0.1926316838074607,0,9.0,10.896248973343978,"0.03898,0.06886,0.19263,0.06178,0.04590,0.07801,0.06654,0.07505,0.10152,0.09298,0.07813,0.10260"
0.003,96,0.0835671640797782,0.03896248769700514,0.19263444533821827,0,9.0,10.89859179944609,"0.03896,0.06887,0.19263,0.06174,0.04590,0.07802,0.06652,0.07501,0.10149,0.09297,0.07810,0.10259"
0.003,64,0.08349663843818687,0.03885708395525087,0.19263712101186892,0,9.0,10.90925724213517,"0.03886,0.06891,0.19264,0.06153,0.04593,0.07806,0.06647,0.07485,0.10132,0.09290,0.07793,0.10255"
0.003,32,0.08316898577146357,0.03838794099704258,0.1923948111910993,0,9.0,10.951212815458463,"0.03839,0.06899,0.19239,0.06074,0.04612,0.07825,0.06615,0.07417,0.10076,0.09253,0.07716,0.10237"
0.005,32,0.08155380934327665,0.037514917498100105,0.18467662513492983,0,8.0,11.544199624668261,"0.03751,0.07017,0.18468,0.05978,0.04615,0.08061,0.06347,0.07057,0.09798,0.09238,0.07506,0.10028"
0.005,64,0.08139991611170085,0.03662314955761517,0.18582211916991564,0,8.0,11.265004938426868,"0.03662,0.07045,0.18582,0.06027,0.04688,0.08050,0.06186,0.06906,0.10000,0.09048,0.07387,0.10099"
0.005,96,0.08132624079438588,0.03636399429040055,0.18605454693583065,0,8.0,11.189896905326,"0.03636,0.07053,0.18605,0.06029,0.04706,0.08049,0.06145,0.06863,0.10040,0.09000,0.07351,0.10114"
0.005,128,0.08130764105992545,0.036302363780940254,0.18610736612881035,0,8.0,11.172171535478741,"0.03630,0.07054,0.18611,0.06029,0.04711,0.08049,0.06135,0.06853,0.10048,0.08989,0.07342,0.10117"
