factor,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,asof_20260428_excess
own_ret_60d,low,50,8.0,0.008869167627614633,-0.037710416023670104,0.07259770410594743,5,0.013053813144613518,0.07259770410594743
own_ret_5d,low,50,1.5,0.00883223400923145,-0.031196438701242127,0.03242935048214877,4,0.013016879526230332,0.02619010614994216
peer_ret_60d,low,30,6.0,0.008798675359643963,-0.04579810306849124,0.06803753092491109,5,0.012983320876642848,0.023463834713745968
own_ret_60d,low,50,6.0,0.008778482596773487,-0.03667130475223358,0.07246434674887209,5,0.01296312811377237,0.07246434674887209
quiet_peer_leader,low,40,1.0,0.008714647055668528,-0.013331342483715002,0.035391357750854904,4,0.012899292572667411,-0.007877156140170191
quiet_peer_leader,low,50,1.5,0.008710742096838132,-0.012824976275670474,0.03408069879453353,4,0.012895387613837017,-0.00900569799523561
peer_ret_60d,low,40,8.0,0.008680662086303009,-0.04680686284948373,0.06808171338871474,5,0.012865307603301892,0.02281727964005062
own_ret_60d,low,40,4.0,0.008645098596890667,-0.03562895206020342,0.0726102131218847,5,0.012829744113889553,0.0726102131218847
peer_ret_60d,low,35,6.0,0.008630835515178696,-0.04744083723403684,0.06798993763816163,5,0.012815481032177582,0.022656469872010476
peer_vol_60d,high,30,1.0,0.008629554582972926,-0.034574631308572024,0.07086744180667626,7,0.012814200099971808,0.07086744180667626
own_ret_5d,low,40,0.5,0.008624661540478059,-0.0279957266606217,0.03297712663007663,4,0.01280930705747694,0.02502182382262183
peer_vol_60d,high,50,3.0,0.008623158138129186,-0.0359914545291489,0.07248835445559795,6,0.01280780365512807,0.07248835445559795
peer_vol_60d,high,35,1.5,0.008602000874669368,-0.03518718577837805,0.07156017481965896,7,0.012786646391668252,0.07156017481965896
peer_vol_60d,high,40,2.0,0.00856630833992168,-0.03564110115541906,0.07183919756979537,6,0.012750953856920565,0.07183919756979537
own_ret_60d,low,35,3.0,0.008447857817256208,-0.03590884474088196,0.07187453785000705,5,0.012632503334255094,0.07187453785000705
peer_ret_60d,low,50,8.0,0.008444552738456883,-0.04866884924325465,0.06723461836846405,5,0.012629198255455767,0.021157018298449584
quiet_peer_leader,low,30,0.5,0.00844156327008435,-0.014710189431427496,0.03616236643638179,4,0.012626208787083234,-0.0066918318932334755
peer_ret_60d,low,40,6.0,0.00843941731253529,-0.048545988089421475,0.06715199896754212,5,0.012624062829534178,0.021336078549420004
peer_ret_60d,low,30,4.0,0.008435965924977811,-0.04830700623636993,0.06700772545691994,5,0.012620611441976695,0.02170774646077822
quiet_peer_leader,low,40,0.5,0.008340528894484153,-0.014296962013198033,0.03230962524400227,5,0.012525174411483037,-0.009513528991520977
peer_confirm_own_20d,low,50,8.0,0.00826338316469478,-0.02432468758118557,0.03240252194765955,3,0.012448028681693665,-0.02432468758118557
peer_confirm_own_20d,low,40,6.0,0.008255516866233065,-0.024372557812956983,0.032457926107976626,3,0.01244016238323195,-0.024372557812956983
quiet_peer_leader,low,50,1.0,0.008232740027726308,-0.010546801696784978,0.03066266597502805,4,0.012417385544725192,-0.010546801696784978
quiet_peer_leader,low,35,0.5,0.008228336273246852,-0.016529967144400262,0.03409663972292068,4,0.012412981790245739,-0.008574181303168775
