k_sim,top_n,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
30,3,4,0.1,0.5,0.010430129500961281,-0.05663076392194593,0.06652721416769068,3,"0.01212,0.00750,-0.05663,0.01978,-0.03864,0.03254,0.01392,-0.02168,0.01883,0.02058,0.05033,0.06653",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
30,3,6,0.1,0.5,0.010276333383598813,-0.0578024304982145,0.06743906474911203,3,"0.01108,0.00909,-0.05780,0.01866,-0.03929,0.03246,0.01219,-0.02388,0.01769,0.02027,0.05542,0.06744",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
999,2,6,0.1,0.25,0.010208217328994261,-0.054959746355198354,0.03729905491956482,3,"0.03730,-0.00800,-0.05496,0.00444,-0.03477,0.00970,0.03406,0.00919,0.02347,0.03533,0.03551,0.03122",ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high
20,3,6,0.1,0.5,0.010139003694851089,-0.04019179611665373,0.06212418730741343,3,"0.02975,0.00909,-0.03991,0.01865,-0.04019,0.03368,0.01340,0.04037,0.00040,-0.02672,0.06212,0.02103",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
30,2,4,0.06,0.5,0.009977194750927575,-0.04409666513368125,0.048782468294285085,4,"0.02905,0.01097,-0.04410,0.01870,-0.01685,0.00797,0.04878,-0.01029,0.01784,-0.00603,0.03225,0.03143",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
999,1,4,0.06,0.25,0.009941301048382365,-0.038013742708319524,0.03803593946290043,3,"0.02788,0.01097,-0.03801,-0.02471,0.01737,0.00529,0.00710,-0.00692,0.03650,0.01437,0.03804,0.03143",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
20,3,4,0.1,0.5,0.0096900161236017,-0.04075506268211681,0.0616965666566457,3,"0.02830,0.00750,-0.04076,0.01977,-0.03920,0.02907,0.01272,0.03998,0.00044,-0.02419,0.06170,0.02095",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
30,2,6,0.06,0.5,0.009689333477131844,-0.044321362903114114,0.050672951172726174,4,"0.02911,0.01055,-0.04432,0.01837,-0.01915,0.00696,0.05067,-0.01089,0.01745,-0.00540,0.03177,0.03115",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
999,1,6,0.06,0.25,0.00963218826233276,-0.03868986319189406,0.03974937366114509,3,"0.02748,0.01055,-0.03869,-0.02650,0.01748,0.00345,0.00656,-0.00399,0.03614,0.01220,0.03975,0.03115",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
999,2,4,0.1,0.25,0.009594076691599694,-0.05090558882040716,0.03674527465637836,3,"0.02918,-0.00702,-0.05091,0.00253,-0.03310,0.01334,0.03042,0.01107,0.01874,0.03330,0.03675,0.03082",ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high
30,1,4,0.06,0.25,0.009508769155503189,-0.038013742708319524,0.03803593946290043,3,"0.02788,0.01097,-0.03801,-0.02471,0.01737,0.00529,0.00710,-0.00692,0.01318,0.03250,0.03804,0.03143",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,6,0.06,0.25,0.009448133522137527,-0.03868986319189406,0.03974937366114509,3,"0.02748,0.01055,-0.03869,-0.02650,0.01748,0.00345,0.00656,-0.00399,0.01321,0.03292,0.03975,0.03115",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
20,3,6,0.08,0.5,0.009234740828753083,-0.03933417074423012,0.046494686356521105,4,"0.03699,0.01007,-0.03470,0.01888,-0.03933,0.01506,0.02147,0.03921,-0.00017,-0.01811,0.04649,0.01497",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
30,3,6,0.08,0.5,0.009228973710960927,-0.04757498431143898,0.04934445394228976,3,"0.01764,0.01007,-0.04757,0.01891,-0.03518,0.01932,0.01576,-0.01615,0.01897,0.01561,0.04404,0.04934",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
999,2,4,0.06,0.5,0.00921837498352422,-0.02810138669132796,0.03796663074055953,4,"0.03232,-0.00696,0.00442,-0.02735,-0.02810,0.01672,0.02879,-0.00376,0.01422,0.02519,0.01717,0.03797",gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high
20,3,4,0.08,0.5,0.009128960014081044,-0.03963348624723975,0.048572106919260435,3,"0.03414,0.00838,-0.03877,0.01774,-0.03963,0.01693,0.02227,0.03936,0.00072,-0.01724,0.04857,0.01707",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
30,3,4,0.08,0.5,0.009046539312511396,-0.04858749163970651,0.050399590679578866,3,"0.01543,0.00838,-0.04859,0.01776,-0.03487,0.01922,0.01610,-0.01390,0.01936,0.01606,0.04322,0.05040",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
