prefix,as_of,path,excess,ret,n
tree_consensus_guarded_v2,20260323,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260323.csv,0.005399243869918614,0.04746196742784201,30
tree_consensus_guarded_v2,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260309.csv,0.009287163693739166,-0.002105941743666849,498
tree_consensus_guarded_v2,20260421,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260421.csv,0.021338700191208655,0.013314108176890499,30
regularized_consensus,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260302.csv,0.028314425576506045,-0.015441451708893269,50
regularized_consensus,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260316.csv,0.015072968357497274,-0.07587305194853977,100
regularized_consensus,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260407.csv,-0.04644935762815281,0.02189701848494343,50
regularized_consensus,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260414.csv,-0.022812065823770607,-0.00034109475336253144,50
regularized_consensus,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260428.csv,-0.01651182219613727,0.04324102158261807,100
regularized_consensus,20260421,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260421.csv,-0.010368716939101855,-0.01839330895342001,80
regularized_consensus,20260323,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260323.csv,-0.004258513478773936,0.03780421007914946,100
regularized_consensus,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260309.csv,0.02328820974192607,0.011895104304520055,50
regularized_consensus,20260330,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_regularized_consensus_9w_20260509/regularized_consensus_20260330.csv,0.011673145252798259,-0.011878379608226594,60
lstm,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/lstm_20260302.csv,0.024084474649162486,-0.019671402636236828,40
tree,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/tree_20260302.csv,0.00454580711763361,-0.039210070167765704,30
regularized,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/regularized_20260302.csv,0.025191797615253673,-0.01856407967014564,50
regularized,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/regularized_20260309.csv,0.025275961682076097,0.013882856244670084,50
tree,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/tree_20260309.csv,0.009287163693739166,-0.002105941743666849,498
lstm,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/force_route_probe_20260509/lstm_20260309.csv,-0.0029762908395342628,-0.014369396276940278,100
hybrid_gate_no_liquidity,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260316.csv,0.07302950183838289,-0.01791651846765416,30
hybrid_gate_no_liquidity,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260302.csv,0.029992515901437745,-0.01376336138396157,50
hybrid_gate_no_alpha,20260323,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260323.csv,0.04514788015494137,0.08721060371286476,80
hybrid_gate_no_route,20260206,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260206.csv,0.033015261136197585,0.05181764692243253,30
hybrid_gate_no_route,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260414.csv,0.04838949476895969,0.07086046583936777,30
hybrid_gate_no_route,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260428.csv,0.08005485753819142,0.13980770131694675,30
hybrid_gate_no_alpha,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260309.csv,0.025275961682076097,0.013882856244670084,50
hybrid_gate_no_route,20260213,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260213.csv,0.09326279349598274,0.13648772582693688,30
hybrid_gate_no_secondary,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260407.csv,0.06736271874026711,0.13570909485336335,30
hybrid_gate_no_alpha,20260330,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260330.csv,0.031480908275426864,0.007929383414402011,30
hybrid_gate_no_secondary,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260414.csv,0.036943476731334246,0.05941444780174232,30
hybrid_gate_no_secondary,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260428.csv,0.06606406954828317,0.1258169133270385,30
hybrid_gate_no_alpha,20260130,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260130.csv,0.00709507757433531,-0.01967828895486484,30
hybrid_gate_no_secondary,20260206,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260206.csv,0.033015261136197585,0.05181764692243253,30
hybrid_gate_no_regime,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260302.csv,0.029992515901437745,-0.01376336138396157,50
hybrid_gate_no_regime,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260316.csv,0.02598644963315115,-0.0649595706728859,30
hybrid_gate_no_route,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260407.csv,0.06736271874026711,0.13570909485336335,30
hybrid_gate_no_secondary,20260213,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260213.csv,0.09326279349598274,0.13648772582693688,30
hybrid_gate_no_liquidity,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260407.csv,0.055403788732104706,0.12375016484520095,30
hybrid_gate_no_regime,20260213,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260213.csv,0.0524522000637251,0.09567713239467925,30
hybrid_gate_no_regime,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260414.csv,0.036943476731334246,0.05941444780174232,30
hybrid_gate_no_regime,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260428.csv,0.06938029327566159,0.12913313705441692,30
