factor,direction,gamma,power,mean,min,max,neg,vals
intraday_mean_5d,high,0.3,2.0,0.0806683231822487,0.037990057702520556,0.16606273146654368,0,"0.03799,0.06791,0.16606,0.04109,0.04399,0.07903,0.07290,0.08177,0.09819,0.09365,0.08254,0.10290"
obv_20d,high,0.3,1.0,0.08066347533243813,0.03777435876035966,0.1661424598045561,0,"0.03777,0.06722,0.16614,0.04098,0.04573,0.07866,0.07287,0.08235,0.09840,0.09329,0.08154,0.10301"
downside_vol_20d,low,0.3,1.0,0.0806580303294313,0.037590692613880115,0.1677010734075902,0,"0.03759,0.06808,0.16770,0.04149,0.04428,0.07735,0.07290,0.08182,0.09910,0.09362,0.08113,0.10283"
trend_quality_20d,high,0.8,0.5,0.08065724113613328,0.03830457335103001,0.16682291170285093,0,"0.03830,0.06598,0.16682,0.04123,0.04423,0.07873,0.07307,0.08279,0.09864,0.09420,0.08101,0.10287"
residual_ret_20d,high,0.3,2.0,0.0806551449092239,0.03769284775644555,0.1655140235734486,0,"0.03769,0.06686,0.16551,0.04077,0.04464,0.07857,0.07307,0.08304,0.09856,0.09507,0.08124,0.10284"
trend_efficiency_20d,high,0.15,0.5,0.08065363719100024,0.037592755523688653,0.16778380018611677,0,"0.03759,0.06680,0.16778,0.04124,0.04570,0.07793,0.07284,0.08173,0.09879,0.09313,0.08127,0.10304"
trend_quality_20d,high,0.5,1.0,0.08065105093757373,0.038051323217548595,0.16631478103570524,0,"0.03805,0.06649,0.16631,0.04132,0.04420,0.07868,0.07313,0.08291,0.09865,0.09439,0.08087,0.10280"
market_corr_60d,low,0.15,2.0,0.08064813907526527,0.037923676127978916,0.16663088598960585,0,"0.03792,0.06822,0.16663,0.04090,0.04513,0.07779,0.07318,0.08172,0.09909,0.09315,0.08124,0.10281"
trend_efficiency_20d,high,0.15,2.0,0.08064362401050744,0.037671436877439166,0.16721252405885553,0,"0.03767,0.06759,0.16721,0.04139,0.04577,0.07757,0.07291,0.08181,0.09822,0.09349,0.08110,0.10297"
ret_20d,high,0.3,2.0,0.080643152933026,0.03775814368611529,0.1655997742362172,0,"0.03776,0.06692,0.16560,0.04073,0.04461,0.07859,0.07353,0.08273,0.09834,0.09498,0.08109,0.10284"
price_volume_corr_20d,high,0.8,0.5,0.08063778253850612,0.03908086240754379,0.15958884396879672,0,"0.03908,0.06958,0.15959,0.04160,0.04446,0.07884,0.07344,0.08301,0.09829,0.09431,0.08244,0.10301"
market_corr_60d,low,0.15,1.0,0.08063173889769507,0.03787198497123849,0.16626375078886382,0,"0.03787,0.06804,0.16626,0.04090,0.04524,0.07788,0.07324,0.08171,0.09915,0.09332,0.08111,0.10285"
vol_20d,low,0.5,2.0,0.08063017418098933,0.0371515583572407,0.16826754740730915,0,"0.03715,0.06702,0.16827,0.04141,0.04437,0.07723,0.07290,0.08182,0.09923,0.09370,0.08141,0.10305"
residual_ret_20d,high,0.5,0.5,0.08062922503970348,0.0377340196619761,0.16601378396704092,0,"0.03773,0.06624,0.16601,0.04089,0.04442,0.07893,0.07299,0.08336,0.09870,0.09456,0.08127,0.10244"
drawdown_20d,high,0.3,0.5,0.08062400483097575,0.037744508062313845,0.16330092235559754,0,"0.03774,0.06795,0.16330,0.04230,0.04499,0.07864,0.07343,0.08230,0.09870,0.09404,0.08139,0.10269"
downside_vol_20d,low,0.5,2.0,0.08062192965124389,0.03767870888005255,0.1681868421782971,0,"0.03768,0.06745,0.16819,0.04138,0.04360,0.07724,0.07291,0.08182,0.09936,0.09364,0.08125,0.10295"
downside_vol_20d,low,0.3,0.5,0.08061956228066082,0.03754362585774754,0.16702934657333085,0,"0.03754,0.06841,0.16703,0.04186,0.04461,0.07742,0.07290,0.08192,0.09871,0.09342,0.08103,0.10259"
trend_efficiency_20d,high,0.15,1.0,0.08061574692847648,0.03756029072535854,0.16740560492764478,0,"0.03756,0.06695,0.16741,0.04135,0.04578,0.07777,0.07286,0.08177,0.09843,0.09332,0.08118,0.10301"
ret_5d,low,0.3,2.0,0.08061217224184501,0.03794218454849614,0.16794545566121563,0,"0.03794,0.06931,0.16795,0.04082,0.04698,0.07304,0.07389,0.08190,0.09905,0.09371,0.08098,0.10179"
close_location_ma5,high,0.8,0.5,0.08060439423795616,0.03810300828007789,0.16724349637378336,0,"0.03810,0.06544,0.16724,0.04009,0.04520,0.07830,0.07309,0.08244,0.09857,0.09476,0.08087,0.10316"
ret_5d,low,0.3,0.5,0.0806029966934806,0.03797761129491294,0.16686141363907767,0,"0.03798,0.06924,0.16686,0.04124,0.04644,0.07325,0.07358,0.08222,0.09957,0.09355,0.08095,0.10236"
price_volume_corr_20d,high,0.5,1.0,0.08059746530403432,0.038762828957588535,0.16031001545784118,0,"0.03876,0.06951,0.16031,0.04140,0.04430,0.07880,0.07348,0.08306,0.09839,0.09425,0.08212,0.10278"
drawdown_20d,high,0.5,2.0,0.0805962700519787,0.03796891751730643,0.16357183829291538,0,"0.03797,0.06777,0.16357,0.04355,0.04390,0.07735,0.07311,0.08270,0.09765,0.09463,0.08222,0.10275"
close_location_ma5,high,0.3,2.0,0.08057520374192864,0.037956829413422946,0.16706423370378232,0,"0.03796,0.06686,0.16706,0.03980,0.04497,0.07756,0.07307,0.08188,0.09892,0.09397,0.08187,0.10298"
turnover_z_20d,low,0.3,0.5,0.0805666614748272,0.03790190677111005,0.16737894149676216,0,"0.03790,0.06839,0.16738,0.03956,0.04495,0.07669,0.07281,0.08227,0.09935,0.09379,0.08122,0.10250"
trend_quality_20d,high,0.5,2.0,0.08055796093602537,0.037774868154620035,0.16516361959110315,0,"0.03777,0.06672,0.16516,0.04155,0.04407,0.07855,0.07327,0.08312,0.09814,0.09487,0.08073,0.10273"
ret_5d,low,0.3,1.0,0.08055559519873998,0.037965264727809624,0.1670500147794617,0,"0.03797,0.06932,0.16705,0.04095,0.04687,0.07284,0.07382,0.08213,0.09929,0.09359,0.08089,0.10195"
amount_z_20d,low,0.3,0.5,0.08054551186267718,0.03785341945392301,0.1671228855923166,0,"0.03785,0.06852,0.16712,0.03931,0.04506,0.07656,0.07283,0.08227,0.09944,0.09384,0.08122,0.10251"
trend_quality_20d,high,1.2,0.5,0.08054380006176506,0.038458753586641144,0.16632359148104156,0,"0.03846,0.06517,0.16632,0.04129,0.04387,0.07890,0.07311,0.08305,0.09832,0.09433,0.08090,0.10279"
obv_20d,high,0.5,0.5,0.08054152274972806,0.03755835056281281,0.16605703139811406,0,"0.03756,0.06661,0.16606,0.04099,0.04565,0.07867,0.07288,0.08227,0.09821,0.09289,0.08169,0.10303"
ret_20d,high,0.5,1.0,0.0805405057867093,0.03799487577287854,0.16491497188325613,0,"0.03799,0.06619,0.16491,0.04077,0.04398,0.07908,0.07370,0.08349,0.09782,0.09495,0.08102,0.10258"
vol_20d,low,0.5,1.0,0.08053814409176836,0.036794428720554315,0.16783365396455208,0,"0.03679,0.06671,0.16783,0.04213,0.04473,0.07677,0.07289,0.08189,0.09889,0.09363,0.08135,0.10284"
vol_20d,low,0.5,0.5,0.080506489411495,0.03692613981288441,0.16710556453610634,0,"0.03693,0.06663,0.16711,0.04285,0.04504,0.07656,0.07283,0.08201,0.09910,0.09325,0.08132,0.10245"
residual_ret_20d,high,0.5,1.0,0.08050581235449615,0.03752030766340457,0.16449291990731502,0,"0.03752,0.06618,0.16449,0.04080,0.04405,0.07907,0.07305,0.08374,0.09821,0.09514,0.08119,0.10263"
intraday_mean_5d,high,0.5,0.5,0.08050307275773591,0.03781426107578185,0.16719601577544177,0,"0.03781,0.06510,0.16720,0.04102,0.04385,0.07924,0.07299,0.08167,0.09793,0.09396,0.08272,0.10254"
close_location_ma5,high,0.5,1.0,0.08049631770173406,0.03793481267329017,0.16697561942879044,0,"0.03793,0.06542,0.16698,0.03983,0.04509,0.07795,0.07315,0.08210,0.09863,0.09451,0.08136,0.10300"
price_volume_corr_20d,high,1.2,0.5,0.08049429108684057,0.03943284486597175,0.1567901788830984,0,"0.03943,0.06982,0.15679,0.04177,0.04415,0.07891,0.07359,0.08335,0.09789,0.09446,0.08277,0.10299"
ret_20d,high,0.8,0.5,0.0804866581929951,0.038487089998523974,0.16554795508942363,0,"0.03849,0.06521,0.16555,0.04083,0.04393,0.07909,0.07360,0.08388,0.09773,0.09457,0.08108,0.10189"
turnover_z_20d,low,0.3,1.0,0.08048554635742051,0.03783019162291987,0.16765032970291274,0,"0.03783,0.06776,0.16765,0.03965,0.04475,0.07669,0.07275,0.08244,0.09930,0.09373,0.08112,0.10216"
amount_z_20d,low,0.3,2.0,0.0804837958715169,0.03766396932971486,0.16800607313134722,0,"0.03766,0.06721,0.16801,0.04002,0.04476,0.07728,0.07271,0.08229,0.09947,0.09356,0.08117,0.10167"
amount_z_20d,low,0.3,1.0,0.08047676436973432,0.037767377981332964,0.16734838638810734,0,"0.03777,0.06797,0.16735,0.03951,0.04488,0.07664,0.07278,0.08241,0.09941,0.09376,0.08112,0.10212"
turnover_z_20d,low,0.3,2.0,0.08047259604658816,0.03772104501957761,0.1680501229442026,0,"0.03772,0.06698,0.16805,0.04002,0.04463,0.07728,0.07269,0.08241,0.09939,0.09357,0.08115,0.10178"
downside_vol_20d,low,0.8,2.0,0.08047245750320489,0.037499939741110794,0.16805412517628499,0,"0.03750,0.06723,0.16805,0.04159,0.04285,0.07687,0.07290,0.08183,0.09923,0.09360,0.08115,0.10286"
close_location_ma5,high,1.2,0.5,0.08046611759599359,0.03813464303425726,0.16679586917933265,0,"0.03813,0.06437,0.16680,0.03986,0.04513,0.07834,0.07314,0.08266,0.09821,0.09509,0.08070,0.10318"
drawdown_20d,high,0.5,1.0,0.08046481136713114,0.03779285016656876,0.16113878472436985,0,"0.03779,0.06719,0.16114,0.04330,0.04431,0.07846,0.07353,0.08280,0.09792,0.09458,0.08183,0.10272"
trend_quality_20d,high,0.8,1.0,0.08046404044514745,0.03808276885850222,0.16531673422235524,0,"0.03808,0.06547,0.16532,0.04144,0.04363,0.07892,0.07322,0.08337,0.09818,0.09466,0.08064,0.10265"
downside_vol_20d,low,0.5,1.0,0.0804583109361794,0.037347281226438045,0.16723936312209492,0,"0.03735,0.06780,0.16724,0.04178,0.04371,0.07694,0.07290,0.08183,0.09879,0.09356,0.08094,0.10266"
market_corr_60d,low,0.3,0.5,0.08045299116928223,0.03777704975170444,0.16507714823113598,0,"0.03778,0.06759,0.16508,0.04088,0.04527,0.07788,0.07339,0.08169,0.09901,0.09329,0.08079,0.10281"
vol_20d,low,0.8,2.0,0.08045275025090756,0.036726289210097865,0.1681829771339833,0,"0.03673,0.06607,0.16818,0.04163,0.04394,0.07701,0.07290,0.08182,0.09902,0.09370,0.08140,0.10303"
price_volume_corr_20d,high,0.5,2.0,0.08044395968101138,0.038609491309173266,0.16004037819789688,0,"0.03861,0.06954,0.16004,0.04095,0.04410,0.07870,0.07342,0.08316,0.09861,0.09416,0.08173,0.10230"
obv_20d,high,0.5,2.0,0.08044349583193712,0.037692830282490326,0.164225506152605,0,"0.03769,0.06668,0.16423,0.04096,0.04592,0.07867,0.07285,0.08302,0.09748,0.09358,0.08133,0.10293"
intraday_mean_5d,high,0.5,1.0,0.08044212037071939,0.03795814391162216,0.1661932449811429,0,"0.03796,0.06593,0.16619,0.04106,0.04321,0.07929,0.07292,0.08167,0.09752,0.09390,0.08306,0.10259"
obv_20d,high,0.5,1.0,0.08043681577055482,0.03764365092452634,0.16491577646859237,0,"0.03764,0.06635,0.16492,0.04098,0.04589,0.07869,0.07286,0.08261,0.09767,0.09306,0.08161,0.10296"
residual_ret_20d,high,0.8,0.5,0.0804252156952595,0.03761269641185797,0.16491883450802322,0,"0.03761,0.06520,0.16492,0.04086,0.04401,0.07910,0.07302,0.08400,0.09828,0.09481,0.08122,0.10209"
intraday_mean_5d,high,0.5,2.0,0.08042294299551594,0.03798975304464526,0.1646729486750098,0,"0.03799,0.06738,0.16467,0.04113,0.04315,0.07918,0.07290,0.08175,0.09727,0.09367,0.08321,0.10278"
residual_ret_20d,high,0.5,2.0,0.08040262198956367,0.0375016922883196,0.16363664256894458,0,"0.03750,0.06576,0.16364,0.04066,0.04415,0.07884,0.07315,0.08373,0.09790,0.09568,0.08114,0.10268"
trend_quality_20d,high,2.0,0.5,0.08039462733456867,0.03878658467004064,0.16567706039688876,0,"0.03879,0.06406,0.16568,0.04136,0.04339,0.07911,0.07317,0.08339,0.09787,0.09449,0.08076,0.10268"
ret_20d,high,0.5,2.0,0.0803897595398839,0.03761511039200483,0.16378417023101294,0,"0.03762,0.06587,0.16378,0.04060,0.04410,0.07886,0.07390,0.08327,0.09754,0.09554,0.08091,0.10268"
ret_5d,low,0.5,2.0,0.08038327540313074,0.037920176958543536,0.16764213883767903,0,"0.03792,0.06962,0.16764,0.04071,0.04791,0.07024,0.07450,0.08196,0.09874,0.09371,0.08068,0.10099"
downside_vol_20d,low,0.5,0.5,0.08037992180759744,0.03729471934740711,0.16603332774829443,0,"0.03729,0.06825,0.16603,0.04231,0.04421,0.07707,0.07290,0.08199,0.09817,0.09324,0.08080,0.10228"
