lookback,top_n,top_k,power,max_weight,mean_excess,min_excess,max_excess,neg_windows,vals,choices
999,5,30,2,0.08,-0.0015891524587723054,-0.029015562956273635,0.01588167821969576,6,"0.00382,-0.02902,0.00602,0.01588,-0.00386,0.00362,0.01518,-0.01469,-0.01270,-0.00301,0.01021,-0.01055",market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low
26,5,40,4,0.08,-0.0015938514124079833,-0.03424104852363145,0.07441641135732971,8,"-0.03424,-0.00986,-0.02076,-0.02404,-0.01370,0.00302,-0.01322,-0.01404,0.07442,-0.00083,0.01714,0.01699",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
999,5,50,6,0.08,-0.0015964997584052626,-0.02871008810964285,0.016086885753754516,6,"0.00527,-0.02871,0.00804,0.01609,-0.00498,0.00453,0.01418,-0.01332,-0.01438,-0.00658,0.01154,-0.01085",market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low
999,5,50,3,0.06,-0.0016014093967466536,-0.025675511702472627,0.01366170989581024,5,"0.00087,-0.02568,0.00410,0.01366,-0.00342,0.00096,0.01346,-0.01435,-0.00909,0.00226,0.00832,-0.01032",market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low
52,3,30,2,0.08,-0.001606688104432785,-0.02636262950571344,0.040708543680951816,7,"-0.02636,-0.01505,0.04071,0.01275,0.01743,-0.02462,-0.00889,-0.00847,0.00809,-0.02419,0.00939,-0.00007",ret_15d_rank:low|ret_15d:low|ret_10d:low / ret_15d:low|ret_15d_rank:low|ret_10d:low / ret_15d:low|ret_15d_rank:low|ret_10d_rank:low / ret_1d:high|ret_10d_rank:low|ret_10d:low / ret_1d:high|ret_10d:low|ret_10d_rank:low / excess_ret_5d_rank:low|excess_ret_5d:low|ret_5d:low / excess_ret_5d_rank:low|excess_ret_5d:low|ret_5d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low|ret_skew_20d_rank:high / trend_efficiency_20d_rank:low|trend_efficiency_20d:low|ret_1d:high / ret_10d:low|ret_10d_rank:low|trend_efficiency_20d:low / ret_1d:high|trend_efficiency_20d_rank:low|trend_efficiency_20d:low / ret_1d:high|trend_efficiency_20d_rank:low|trend_efficiency_20d:low
26,3,50,1,0.06,-0.0016089637335337762,-0.027835002312922876,0.04423416511381791,7,"-0.02784,-0.00184,-0.01770,-0.02373,-0.00612,0.01650,0.00115,0.01150,0.04423,-0.01412,0.00120,-0.00255",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,3,50,1,0.08,-0.0016089637335337762,-0.027835002312922876,0.04423416511381791,7,"-0.02784,-0.00184,-0.01770,-0.02373,-0.00612,0.01650,0.00115,0.01150,0.04423,-0.01412,0.00120,-0.00255",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,3,50,1,0.1,-0.0016089637335337762,-0.027835002312922876,0.04423416511381791,7,"-0.02784,-0.00184,-0.01770,-0.02373,-0.00612,0.01650,0.00115,0.01150,0.04423,-0.01412,0.00120,-0.00255",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
52,3,30,3,0.08,-0.0016133590391581405,-0.02699823326291199,0.04364497707465951,7,"-0.02632,-0.01357,0.04364,0.01225,0.02072,-0.02568,-0.00884,-0.01073,0.00747,-0.02700,0.00883,-0.00014",ret_15d_rank:low|ret_15d:low|ret_10d:low / ret_15d:low|ret_15d_rank:low|ret_10d:low / ret_15d:low|ret_15d_rank:low|ret_10d_rank:low / ret_1d:high|ret_10d_rank:low|ret_10d:low / ret_1d:high|ret_10d:low|ret_10d_rank:low / excess_ret_5d_rank:low|excess_ret_5d:low|ret_5d:low / excess_ret_5d_rank:low|excess_ret_5d:low|ret_5d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low|ret_skew_20d_rank:high / trend_efficiency_20d_rank:low|trend_efficiency_20d:low|ret_1d:high / ret_10d:low|ret_10d_rank:low|trend_efficiency_20d:low / ret_1d:high|trend_efficiency_20d_rank:low|trend_efficiency_20d:low / ret_1d:high|trend_efficiency_20d_rank:low|trend_efficiency_20d:low
52,2,40,6,0.1,-0.0016167705179764014,-0.041986078175748176,0.05745054149663246,7,"-0.02260,-0.04199,0.05745,0.01048,0.02369,-0.02472,-0.00855,-0.01248,0.00492,-0.01720,0.01352,-0.00191",ret_15d_rank:low|ret_15d:low / ret_15d:low|ret_15d_rank:low / ret_15d:low|ret_15d_rank:low / ret_1d:high|ret_10d_rank:low / ret_1d:high|ret_10d:low / excess_ret_5d_rank:low|excess_ret_5d:low / excess_ret_5d_rank:low|excess_ret_5d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / ret_10d:low|ret_10d_rank:low / ret_1d:high|trend_efficiency_20d_rank:low / ret_1d:high|trend_efficiency_20d_rank:low
104,12,50,3,0.06,-0.0016208507899425947,-0.024472525335998918,0.032742466614187345,7,"-0.01321,-0.00564,-0.02447,0.01740,0.01493,-0.01753,0.00910,-0.02447,0.03274,0.01570,-0.01121,-0.01280",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,3,35,1,0.06,-0.0016236769862400307,-0.028233479390392054,0.05636832141906289,7,"-0.02823,0.00323,-0.01693,-0.02725,-0.00952,0.00833,-0.00103,0.00960,0.05637,-0.01699,0.00407,-0.00114",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,3,35,1,0.08,-0.0016236769862400307,-0.028233479390392054,0.05636832141906289,7,"-0.02823,0.00323,-0.01693,-0.02725,-0.00952,0.00833,-0.00103,0.00960,0.05637,-0.01699,0.00407,-0.00114",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,3,35,1,0.1,-0.0016236769862400307,-0.028233479390392054,0.05636832141906289,7,"-0.02823,0.00323,-0.01693,-0.02725,-0.00952,0.00833,-0.00103,0.00960,0.05637,-0.01699,0.00407,-0.00114",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
104,1,40,3,0.08,-0.00162369065000997,-0.04410053209976418,0.02815454409978377,5,"-0.02871,0.00002,0.01229,-0.04410,-0.00874,-0.01337,0.00873,0.00254,0.02408,0.01366,0.02815,-0.01404",trend_efficiency_20d:low / gap_mean_20d:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / gap_mean_20d:high
26,5,50,4,0.08,-0.001625611504804252,-0.0341583175149188,0.07346011657681879,8,"-0.03416,-0.00811,-0.02134,-0.02388,-0.01172,0.00291,-0.01310,-0.01295,0.07346,-0.00339,0.01571,0.01706",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,5,50,6,0.08,-0.001626118708316883,-0.034143353361215996,0.07432267713484851,8,"-0.03414,-0.01036,-0.02091,-0.02455,-0.01384,0.00260,-0.01326,-0.01407,0.07432,-0.00019,0.01785,0.01704",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
999,1,30,1,0.08,-0.0016269517728522626,-0.02071782242471483,0.03524417291752067,8,"-0.00018,-0.01699,0.03524,0.00943,-0.00725,-0.01430,0.00714,0.00281,-0.00915,-0.00243,-0.00313,-0.02072",market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high
999,1,30,1,0.1,-0.0016269517728522626,-0.02071782242471483,0.03524417291752067,8,"-0.00018,-0.01699,0.03524,0.00943,-0.00725,-0.01430,0.00714,0.00281,-0.00915,-0.00243,-0.00313,-0.02072",market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high
999,2,30,1,0.08,-0.0016269517728522626,-0.02071782242471483,0.03524417291752067,8,"-0.00018,-0.01699,0.03524,0.00943,-0.00725,-0.01430,0.00714,0.00281,-0.00915,-0.00243,-0.00313,-0.02072",market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high
999,2,30,1,0.1,-0.0016269517728522626,-0.02071782242471483,0.03524417291752067,8,"-0.00018,-0.01699,0.03524,0.00943,-0.00725,-0.01430,0.00714,0.00281,-0.00915,-0.00243,-0.00313,-0.02072",market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high
104,8,50,4,0.1,-0.001627769310976226,-0.0198827746508913,0.01763621336091377,5,"-0.01978,-0.01868,-0.01988,0.01365,0.00444,-0.00360,0.00465,-0.01826,0.00595,0.01344,0.01764,0.00091",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,12,35,1,0.06,-0.001631344855470419,-0.023563643714286587,0.03362390814032022,7,"-0.01369,-0.00798,-0.02287,0.01646,0.01477,-0.01531,0.00809,-0.02356,0.03362,0.01490,-0.01255,-0.01144",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,12,35,1,0.08,-0.001631344855470419,-0.023563643714286587,0.03362390814032022,7,"-0.01369,-0.00798,-0.02287,0.01646,0.01477,-0.01531,0.00809,-0.02356,0.03362,0.01490,-0.01255,-0.01144",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,12,35,1,0.1,-0.001631344855470419,-0.023563643714286587,0.03362390814032022,7,"-0.01369,-0.00798,-0.02287,0.01646,0.01477,-0.01531,0.00809,-0.02356,0.03362,0.01490,-0.01255,-0.01144",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
52,2,30,4,0.1,-0.00163504540294383,-0.042446623850759244,0.05746391127951552,7,"-0.02265,-0.04245,0.05746,0.01053,0.02403,-0.02499,-0.00858,-0.01264,0.00526,-0.01728,0.01340,-0.00171",ret_15d_rank:low|ret_15d:low / ret_15d:low|ret_15d_rank:low / ret_15d:low|ret_15d_rank:low / ret_1d:high|ret_10d_rank:low / ret_1d:high|ret_10d:low / excess_ret_5d_rank:low|excess_ret_5d:low / excess_ret_5d_rank:low|excess_ret_5d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / ret_10d:low|ret_10d_rank:low / ret_1d:high|trend_efficiency_20d_rank:low / ret_1d:high|trend_efficiency_20d_rank:low
104,1,35,3,0.08,-0.0016354434287537626,-0.04784336404449395,0.02829412695182802,6,"-0.02872,-0.00188,0.01417,-0.04784,-0.01011,-0.01330,0.00977,0.00302,0.02570,0.01506,0.02829,-0.01378",trend_efficiency_20d:low / gap_mean_20d:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / gap_mean_20d:high
26,5,30,3,0.08,-0.001642013992970522,-0.0340707062540469,0.07367035352339368,7,"-0.03407,-0.01041,-0.01960,-0.02620,-0.01468,0.00270,-0.01330,-0.01430,0.07367,0.00003,0.01833,0.01812",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
999,1,30,1,0.06,-0.0016442883905833103,-0.020490655614231024,0.035201078705937985,8,"-0.00005,-0.01685,0.03520,0.00937,-0.00718,-0.01472,0.00708,0.00269,-0.00909,-0.00235,-0.00335,-0.02049",market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high
999,2,30,1,0.06,-0.0016442883905833103,-0.020490655614231024,0.035201078705937985,8,"-0.00005,-0.01685,0.03520,0.00937,-0.00718,-0.01472,0.00708,0.00269,-0.00909,-0.00235,-0.00335,-0.02049",market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high
999,5,40,2,0.06,-0.001646492169339489,-0.025788122158678015,0.01386043887193462,5,"0.00077,-0.02579,0.00399,0.01386,-0.00369,0.00084,0.01341,-0.01461,-0.00911,0.00259,0.00806,-0.01008",market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low / market_corr_60d_rank:high|market_corr_60d:high|trend_efficiency_20d:low
