top_k,power,mix_agg,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,avg_names,vals
30,8,0.0,0.07950365035092806,0.038279755590684576,0.1684089211738471,0,0.08368829586792696,30.833333333333332,"0.03917,0.06806,0.16841,0.03828,0.04546,0.07761,0.07143,0.08000,0.09526,0.09310,0.07854,0.09873"
35,8,0.0,0.07936592306853257,0.03784656412302185,0.1684089211738471,0,0.08355056858553146,32.083333333333336,"0.03917,0.06806,0.16841,0.03785,0.04546,0.07761,0.07147,0.08000,0.09526,0.09184,0.07854,0.09873"
40,8,0.0,0.07922846818881872,0.037442109881907416,0.1684089211738471,0,0.0834131137058176,33.333333333333336,"0.03917,0.06806,0.16841,0.03744,0.04546,0.07761,0.07077,0.08000,0.09526,0.09129,0.07854,0.09873"
50,8,0.0,0.07897358596859694,0.03689457413345547,0.1684089211738471,0,0.08315823148559581,35.833333333333336,"0.03917,0.06806,0.16841,0.03689,0.04546,0.07761,0.06945,0.08000,0.09526,0.09010,0.07854,0.09873"
60,8,0.0,0.0789096746685863,0.03686835013477717,0.1684089211738471,0,0.08309432018558517,36.916666666666664,"0.03917,0.06806,0.16841,0.03687,0.04546,0.07761,0.06915,0.08000,0.09526,0.08966,0.07854,0.09873"
80,8,0.0,0.07845597693153451,0.03686835013477717,0.1684089211738471,0,0.08264062244853342,38.583333333333336,"0.03917,0.06806,0.16841,0.03687,0.04546,0.07761,0.06371,0.08000,0.09526,0.08966,0.07854,0.09873"
30,6,0.0,0.078368996447488,0.03773182055205878,0.16673876999629217,0,0.08255364196448689,30.833333333333332,"0.03825,0.06854,0.16674,0.03773,0.04546,0.07761,0.07161,0.07945,0.09239,0.09166,0.07469,0.09630"
35,6,0.0,0.0782054231790217,0.03718163862983603,0.16673876999629217,0,0.0823900686960206,32.083333333333336,"0.03825,0.06854,0.16674,0.03718,0.04546,0.07761,0.07032,0.07945,0.09239,0.09154,0.07469,0.09630"
35,8,0.05,0.07814224196070556,0.03753126394072506,0.16812508708516669,0,0.08232688747770443,32.083333333333336,"0.03850,0.06822,0.16813,0.03753,0.04546,0.07761,0.07072,0.07735,0.09243,0.08942,0.07488,0.09745"
30,8,0.05,0.0781346292078866,0.037930791223213044,0.16812508708516669,0,0.08231927472488548,30.833333333333332,"0.03850,0.06822,0.16813,0.03793,0.04546,0.07761,0.07049,0.07735,0.09243,0.08916,0.07488,0.09745"
40,8,0.05,0.07808679641720523,0.037189892644301004,0.16812508708516669,0,0.08227144193420412,33.333333333333336,"0.03850,0.06822,0.16813,0.03719,0.04546,0.07761,0.07002,0.07735,0.09243,0.08980,0.07488,0.09745"
40,6,0.0,0.07805027260456358,0.0369116021466054,0.16673876999629217,0,0.08223491812156246,33.333333333333336,"0.03825,0.06854,0.16674,0.03691,0.04546,0.07761,0.06979,0.07945,0.09239,0.09047,0.07469,0.09630"
50,12,0.05,0.07803195453854894,0.03738052501835292,0.17067427667258075,0,0.08221660005554783,35.833333333333336,"0.03847,0.06820,0.17067,0.03738,0.04546,0.07761,0.07027,0.07417,0.09217,0.08903,0.07449,0.09846"
40,12,0.05,0.07796279788249956,0.03787802633335433,0.17067427667258075,0,0.08214744339949846,33.333333333333336,"0.03847,0.06820,0.17067,0.03788,0.04546,0.07761,0.07009,0.07417,0.09217,0.08789,0.07449,0.09846"
60,12,0.05,0.07794382491555642,0.03733133787224588,0.17067427667258075,0,0.08212847043255529,36.916666666666664,"0.03847,0.06820,0.17067,0.03733,0.04546,0.07761,0.06911,0.07417,0.09217,0.08919,0.07449,0.09846"
80,12,0.05,0.07790786255430933,0.03733133787224588,0.17067427667258075,0,0.0820925080713082,38.583333333333336,"0.03847,0.06820,0.17067,0.03733,0.04546,0.07761,0.06868,0.07417,0.09217,0.08919,0.07449,0.09846"
50,8,0.05,0.07788749907605082,0.03682527010801112,0.16812508708516669,0,0.0820721445930497,35.833333333333336,"0.03850,0.06822,0.16813,0.03683,0.04546,0.07761,0.06914,0.07735,0.09243,0.08865,0.07488,0.09745"
35,12,0.05,0.0778596691427539,0.037972001474691104,0.17067427667258075,0,0.0820443146597528,32.083333333333336,"0.03847,0.06820,0.17067,0.03797,0.04546,0.07761,0.06943,0.07417,0.09217,0.08722,0.07449,0.09846"
60,8,0.05,0.07783785379196853,0.0368019264101649,0.16812508708516669,0,0.08202249930896742,36.916666666666664,"0.03850,0.06822,0.16813,0.03680,0.04546,0.07761,0.06895,0.07735,0.09243,0.08827,0.07488,0.09745"
30,12,0.05,0.07768181678948728,0.038183767282814904,0.17067427667258075,0,0.08186646230648618,30.833333333333332,"0.03847,0.06820,0.17067,0.03818,0.04546,0.07761,0.06836,0.07417,0.09217,0.08594,0.07449,0.09846"
50,6,0.0,0.07766120300063618,0.03648870081614296,0.16673876999629217,0,0.08184584851763509,35.833333333333336,"0.03825,0.06854,0.16674,0.03649,0.04546,0.07761,0.06905,0.07945,0.09239,0.08697,0.07469,0.09630"
30,6,0.05,0.07755378172934131,0.037474761566827205,0.16550278319463796,0,0.0817384272463402,30.833333333333332,"0.03797,0.06853,0.16550,0.03747,0.04546,0.07761,0.07085,0.07749,0.09127,0.09025,0.07295,0.09530"
35,6,0.05,0.07741420327772944,0.037007459816514966,0.16550278319463796,0,0.08159884879472833,32.083333333333336,"0.03797,0.06853,0.16550,0.03701,0.04546,0.07761,0.06972,0.07749,0.09127,0.09018,0.07295,0.09530"
80,8,0.05,0.07740730242326722,0.0368019264101649,0.16812508708516669,0,0.0815919479402661,38.583333333333336,"0.03850,0.06822,0.16813,0.03680,0.04546,0.07761,0.06378,0.07735,0.09243,0.08827,0.07488,0.09745"
40,6,0.05,0.07728892011593645,0.03686256811557317,0.16550278319463796,0,0.08147356563293534,33.333333333333336,"0.03797,0.06853,0.16550,0.03686,0.04546,0.07761,0.06947,0.07749,0.09127,0.08907,0.07295,0.09530"
60,6,0.0,0.07728353883285033,0.036418886661143894,0.16673876999629217,0,0.0814681843498492,36.916666666666664,"0.03825,0.06854,0.16674,0.03642,0.04546,0.07761,0.06573,0.07945,0.09239,0.08582,0.07469,0.09630"
35,8,0.1,0.07728188075722864,0.0372006205426217,0.16791925049929532,0,0.08146652627422751,32.083333333333336,"0.03800,0.06835,0.16792,0.03720,0.04546,0.07761,0.06990,0.07540,0.09062,0.08814,0.07229,0.09649"
