as_of,start,end,top_k,portfolio_return,benchmark_return,excess_return,n_names
20260320,20260323,20260327,80,0.019109686587543924,-0.002889548078185755,0.02199923466572968,80
20260320,20260323,20260327,85,0.018557738660188453,-0.002889548078185755,0.02144728673837421,85
20260320,20260323,20260327,90,0.017956616836971858,-0.002889548078185755,0.020846164915157613,90
20260320,20260323,20260327,95,0.01738750567034281,-0.002889548078185755,0.020277053748528565,95
20260320,20260323,20260327,100,0.01689904075401627,-0.002889548078185755,0.019788588832202025,100
20260320,20260323,20260327,105,0.016426847549462463,-0.002889548078185755,0.019316395627648218,105
20260320,20260323,20260327,110,0.015882170841905227,-0.002889548078185755,0.018771718920090982,110
20260320,20260323,20260327,115,0.015342554752628464,-0.002889548078185755,0.01823210283081422,115
20260320,20260323,20260327,120,0.014955563803726233,-0.002889548078185755,0.017845111881911988,120
20260410,20260413,20260417,30,0.05415127518276233,0.03072126825663024,0.02343000692613209,30
20260410,20260413,20260417,35,0.054825667050556554,0.03072126825663024,0.024104398793926313,35
20260410,20260413,20260417,40,0.05342249589677876,0.03072126825663024,0.022701227640148522,40
20260410,20260413,20260417,45,0.05100045218814227,0.03072126825663024,0.020279183931512026,45
20260410,20260413,20260417,50,0.049019231908488205,0.03072126825663024,0.018297963651857964,50
20260410,20260413,20260417,55,0.048186589320645505,0.03072126825663024,0.017465321064015264,55
20260410,20260413,20260417,60,0.047899527355820426,0.03072126825663024,0.017178259099190185,60
20260410,20260413,20260417,65,0.04769000810740514,0.03072126825663024,0.0169687398507749,65
20260410,20260413,20260417,70,0.047468796539102756,0.03072126825663024,0.016747528282472515,70
20260410,20260413,20260417,75,0.04720830771351586,0.03072126825663024,0.01648703945688562,75
20260410,20260413,20260417,80,0.04701337344711622,0.03072126825663024,0.016292105190485982,80
20260410,20260413,20260417,85,0.04676352311451614,0.03072126825663024,0.0160422548578859,85
20260410,20260413,20260417,90,0.04671524433683497,0.03072126825663024,0.015993976080204732,90
20260410,20260413,20260417,95,0.0466197227523302,0.03072126825663024,0.01589845449569996,95
20260410,20260413,20260417,100,0.04656452821625657,0.03072126825663024,0.015843259959626328,100
20260410,20260413,20260417,105,0.04651795766035717,0.03072126825663024,0.01579668940372693,105
20260410,20260413,20260417,110,0.046500229270566476,0.03072126825663024,0.015778961013936235,110
20260410,20260413,20260417,115,0.04640605937602637,0.03072126825663024,0.01568479111939613,115
20260410,20260413,20260417,120,0.04626501135786857,0.03072126825663024,0.015543743101238329,120
